Company,Weight,Ticker,Headquarters,GICS Sector,GICS Sub-Industry
"Apple, Inc.",4.856,AAPL,"Cupertino, California",Information Technology,"Technology Hardware, Storage & Peripherals"
Exxon Mobil Corp.,3.277,XOM,"Irving, Texas",Energy,Integrated Oil & Gas
General Electric Co.,1.862,GE,"Evendale, Ohio",Industrials,Aerospace & Defense
Chevron Corp.,1.776,CVX,"Houston, Texas",Energy,Integrated Oil & Gas
Microsoft Corp.,1.744,MSFT,"Redmond, Washington",Information Technology,Systems Software
International Business Machines Corp.,1.732,IBM,"Armonk, New York",Information Technology,IT Consulting & Other Services
"AT&T, Inc.",1.689,T,"Dallas, Texas",Communication Services,Integrated Telecommunication Services
"Google, Inc. (Class A)",1.55,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
The Procter & Gamble Co.,1.483,PG,"Cincinnati, Ohio",Consumer Staples,Personal Care Products
Johnson & Johnson,1.475,JNJ,"New Brunswick, New Jersey",Health Care,Pharmaceuticals
"Pfizer, Inc.",1.441,PFE,"New York City, New York",Health Care,Pharmaceuticals
Wells Fargo & Co.,1.319,WFC,"San Francisco, California",Financials,Diversified Banks
"Berkshire Hathaway, Inc. (Class B)",1.255,BRK.B,"Omaha, Nebraska",Financials,Multi-Sector Holdings
JPMorgan Chase & Co.,1.194,JPM,"New York City, New York",Financials,Diversified Banks
"Philip Morris International, Inc.",1.177,PM,"New York City, New York",Consumer Staples,Tobacco
The Coca-Cola Co.,1.14,KO,"Atlanta, Georgia",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"Merck & Co., Inc.",1.066,MRK,"Kenilworth, New Jersey",Health Care,Pharmaceuticals
"Verizon Communications, Inc.",1.008,VZ,"New York City, New York",Communication Services,Integrated Telecommunication Services
"Wal-Mart Stores, Inc.",0.963,WMT,"Bentonville, Arkansas",Consumer Staples,Consumer Staples Merchandise Retail
Oracle Corp.,0.931,ORCL,"Austin, Texas",Information Technology,Application Software
Intel Corp.,0.881,INTC,"Santa Clara, California",Information Technology,Semiconductors
"PepsiCo, Inc.",0.855,PEP,"Purchase, New York",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Abbott Laboratories,0.835,ABT,"North Chicago, Illinois",Health Care,Health Care Equipment
"QUALCOMM, Inc.",0.826,QCOM,"San Diego, California",Information Technology,Semiconductors
"Cisco Systems, Inc.",0.784,CSCO,"San Jose, California",Information Technology,Communications Equipment
"Schlumberger, Ltd.",0.745,SLB,"Houston, Texas",Energy,Oil & Gas Equipment & Services
"Citigroup, Inc.",0.745,C,"New York City, New York",Financials,Diversified Banks
Comcast Corp. (Class A),0.743,CMCSA,"Philadelphia, Pennsylvania",Communication Services,Cable & Satellite
Bank of America Corp.,0.739,BAC,"Charlotte, North Carolina",Financials,Diversified Banks
The Walt Disney Co.,0.728,DIS,"Burbank, California",Communication Services,Movies & Entertainment
McDonald’s Corp.,0.718,MCD,"Chicago, Illinois",Consumer Discretionary,Restaurants
"Amazon.com, Inc.",0.714,AMZN,"Seattle, Washington",Consumer Discretionary,Broadline Retail
"The Home Depot, Inc.",0.708,HD,"Atlanta, Georgia",Consumer Discretionary,Home Improvement Retail
"Kraft Foods, Inc. (Class A)",0.57,KRFT,"Northfield, IL",Consumer Staples,Packaged Foods & Meats
"Visa, Inc. (Class A)",0.544,V,"San Francisco, California",Financials,Transaction & Payment Processing Services
Occidental Petroleum Corp.,0.541,OXY,"Houston, Texas",Energy,Oil & Gas Exploration & Production
ConocoPhillips,0.54,COP,"Houston, Texas",Energy,Oil & Gas Exploration & Production
"Altria Group, Inc.",0.527,MO,"Richmond, Virginia",Consumer Staples,Tobacco
United Technologies Corp.,0.511,UTX,"Farmington, CT",Industrials,Aerospace & Defense
U.S. Bancorp,0.505,USB,"Minneapolis, Minnesota",Financials,Diversified Banks
"Amgen, Inc.",0.505,AMGN,"Thousand Oaks, California",Health Care,Biotechnology
CVS Caremark Corp.,0.478,CVS,"Woonsocket, Rhode Island",Health Care,Health Care Services
3M Co.,0.457,MMM,"Saint Paul, Minnesota",Industrials,Industrial Conglomerates
EMC Corp.,0.444,EMC,"Hopkinton, MA",Information Technology,"Technology Hardware, Storage & Peripherals"
"UnitedHealth Group, Inc.",0.444,UNH,"Eden Prairie, Minnesota",Health Care,Managed Health Care
Bristol-Myers Squibb Co.,0.44,BMY,"New York City, New York",Health Care,Pharmaceuticals
Union Pacific Corp.,0.436,UNP,"Omaha, Nebraska",Industrials,Rail Transportation
"Caterpillar, Inc.",0.436,CAT,"Irving, Texas",Industrials,Construction Machinery & Heavy Transportation Equipment
American Express Co.,0.436,AXP,"New York City, New York",Financials,Consumer Finance
"eBay, Inc.",0.436,EBAY,"San Jose, California",Consumer Discretionary,Broadline Retail
"United Parcel Service, Inc. (Class B)",0.399,UPS,"Sandy Springs, Georgia",Industrials,Air Freight & Logistics
"The Goldman Sachs Group, Inc.",0.398,GS,"New York City, New York",Financials,Investment Banking & Brokerage
Express Scripts Holding Co.,0.394,ESRX,"St. Louis, MO",Health Care,Health Care Services
"Gilead Sciences, Inc.",0.39,GILD,"Foster City, California",Health Care,Biotechnology
News Corp. (Class A),0.388,NWSA,"New York City, New York",Communication Services,Publishing
Monsanto Co.,0.377,MON,"St. Louis, MO",Materials,Fertilizers & Agricultural Chemicals
"MasterCard, Inc. (Class A)",0.376,MA,"Harrison, New York",Financials,Transaction & Payment Processing Services
Eli Lilly & Co.,0.376,LLY,"Indianapolis, Indiana",Health Care,Pharmaceuticals
Colgate-Palmolive Co.,0.371,CL,"New York City, New York",Consumer Staples,Household Products
The Boeing Co.,0.366,BA,"Arlington, Virginia",Industrials,Aerospace & Defense
E. I. du Pont de Nemours & Co.,0.363,DD,"Wilmington, Delaware",Materials,Specialty Chemicals
"Honeywell International, Inc.",0.362,HON,"Charlotte, North Carolina",Industrials,Industrial Conglomerates
"Simon Property Group, Inc.",0.358,SPG,"Indianapolis, Indiana",Real Estate,Retail REITs
Duke Energy Corp.,0.354,DUK,"Charlotte, North Carolina",Utilities,Electric Utilities
Accenture PLC (Class A),0.346,ACN,"Dublin, Ireland",Information Technology,IT Consulting & Other Services
"Medtronic, Inc.",0.342,MDT,"Dublin, Ireland",Health Care,Health Care Equipment
Costco Wholesale Corp.,0.336,COST,"Issaquah, Washington",Consumer Staples,Consumer Staples Merchandise Retail
"Time Warner, Inc.",0.333,TWX,"New York, NY",Communication Services,Movies & Entertainment
Target Corp.,0.322,TGT,"Minneapolis, Minnesota",Consumer Staples,Consumer Staples Merchandise Retail
Southern Co.,0.313,SO,"Atlanta, Georgia",Utilities,Electric Utilities
Starbucks Corp.,0.299,SBUX,"Seattle, Washington",Consumer Discretionary,Restaurants
"American International Group, Inc.",0.297,AIG,"New York City, New York",Financials,Multi-line Insurance
Ford Motor Co.,0.292,F,"Dearborn, Michigan",Consumer Discretionary,Automobile Manufacturers
"Freeport-McMoRan Copper & Gold, Inc.",0.292,FCX,"Phoenix, Arizona",Materials,Copper
"MetLife, Inc.",0.284,MET,"New York City, New York",Financials,Life & Health Insurance
"Biogen Idec, Inc.",0.274,BIIB,"Cambridge, Massachusetts",Health Care,Biotechnology
Emerson Electric Co.,0.273,EMR,"Ferguson, Missouri",Industrials,Electrical Components & Equipment
Anadarko Petroleum Corp.,0.271,APC,"The Woodlands, TX",Energy,Oil & Gas Exploration & Production
"NIKE, Inc. (Class B)",0.271,NKE,"Washington County, Oregon",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
The Dow Chemical Co.,0.269,DOW,"Midland, Michigan",Materials,Commodity Chemicals
"Lowe’s Cos., Inc.",0.268,LOW,"Mooresville, North Carolina",Consumer Discretionary,Home Improvement Retail
"National-Oilwell Varco, Inc.",0.265,NOV,"Houston, TX",Energy,Oil & Gas Equipment & Services
Kimberly-Clark Corp.,0.263,KMB,"Irving, Texas",Consumer Staples,Household Products
Apache Corp.,0.263,APA,"Houston, Texas",Energy,Oil & Gas Exploration & Production
Hewlett-Packard Co.,0.26,HPQ,"Palo Alto, California",Information Technology,"Technology Hardware, Storage & Peripherals"
"PNC Financial Services Group, Inc.",0.259,PNC,"Pittsburgh, Pennsylvania",Financials,Diversified Banks
Celgene Corp.,0.258,CELG,"Summit, NJ",Health Care,Biotechnology
Capital One Financial Corp.,0.257,COF,"Tysons Corner, Virginia",Financials,Consumer Finance
