Company,Weight,Ticker,Headquarters,GICS Sector,GICS Sub-Industry
"Apple, Inc.",3.445,AAPL,"Cupertino, California",Information Technology,"Technology Hardware, Storage & Peripherals"
Exxon Mobil Corp.,2.29,XOM,"Irving, Texas",Energy,Integrated Oil & Gas
Microsoft Corp.,2.179,MSFT,"Redmond, Washington",Information Technology,Systems Software
Johnson & Johnson,1.716,JNJ,"New Brunswick, New Jersey",Health Care,Pharmaceuticals
General Electric Co.,1.467,GE,"Evendale, Ohio",Industrials,Aerospace & Defense
"Berkshire Hathaway, Inc. (Class B)",1.438,BRK.B,"Omaha, Nebraska",Financials,Multi-Sector Holdings
Wells Fargo & Co.,1.407,WFC,"San Francisco, California",Financials,Diversified Banks
JPMorgan Chase & Co.,1.294,JPM,"New York City, New York",Financials,Diversified Banks
Chevron Corp.,1.294,CVX,"Houston, Texas",Energy,Integrated Oil & Gas
The Procter & Gamble Co.,1.294,PG,"Cincinnati, Ohio",Consumer Staples,Personal Care Products
"Verizon Communications, Inc.",1.183,VZ,"New York City, New York",Communication Services,Integrated Telecommunication Services
"Pfizer, Inc.",1.071,PFE,"New York City, New York",Health Care,Pharmaceuticals
"AT&T, Inc.",1.044,T,"Dallas, Texas",Communication Services,Integrated Telecommunication Services
Bank of America Corp.,1.025,BAC,"Charlotte, North Carolina",Financials,Diversified Banks
International Business Machines Corp.,1.006,IBM,"Armonk, New York",Information Technology,IT Consulting & Other Services
Intel Corp.,0.984,INTC,"Santa Clara, California",Information Technology,Semiconductors
"Merck & Co., Inc.",0.976,MRK,"Kenilworth, New Jersey",Health Care,Pharmaceuticals
The Coca-Cola Co.,0.961,KO,"Atlanta, Georgia",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"Google, Inc. (Class A)",0.954,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
"Google, Inc. (Class C)",0.936,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
"Gilead Sciences, Inc.",0.919,GILD,"Foster City, California",Health Care,Biotechnology
"Citigroup, Inc.",0.897,C,"New York City, New York",Financials,Diversified Banks
"Facebook, Inc. (Class A)",0.879,META,"Menlo Park, California",Communication Services,Interactive Media & Services
The Walt Disney Co.,0.803,DIS,"Burbank, California",Communication Services,Movies & Entertainment
"PepsiCo, Inc.",0.801,PEP,"Purchase, New York",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Comcast Corp. (Class A),0.795,CMCSA,"Philadelphia, Pennsylvania",Communication Services,Cable & Satellite
"Schlumberger, Ltd.",0.753,SLB,"Houston, Texas",Energy,Oil & Gas Equipment & Services
"Philip Morris International, Inc.",0.744,PM,"New York City, New York",Consumer Staples,Tobacco
"Cisco Systems, Inc.",0.733,CSCO,"San Jose, California",Information Technology,Communications Equipment
"QUALCOMM, Inc.",0.716,QCOM,"San Diego, California",Information Technology,Semiconductors
Oracle Corp.,0.711,ORCL,"Austin, Texas",Information Technology,Application Software
"The Home Depot, Inc.",0.705,HD,"Atlanta, Georgia",Consumer Discretionary,Home Improvement Retail
"Amazon.com, Inc.",0.697,AMZN,"Seattle, Washington",Consumer Discretionary,Broadline Retail
"Wal-Mart Stores, Inc.",0.69,WMT,"Bentonville, Arkansas",Consumer Staples,Consumer Staples Merchandise Retail
"Amgen, Inc.",0.609,AMGN,"Thousand Oaks, California",Health Care,Biotechnology
"Visa, Inc. (Class A)",0.6,V,"San Francisco, California",Financials,Transaction & Payment Processing Services
Union Pacific Corp.,0.556,UNP,"Omaha, Nebraska",Industrials,Rail Transportation
ConocoPhillips,0.536,COP,"Houston, Texas",Energy,Oil & Gas Exploration & Production
McDonald’s Corp.,0.532,MCD,"Chicago, Illinois",Consumer Discretionary,Restaurants
CVS Health Corp.,0.526,CVS,"Woonsocket, Rhode Island",Health Care,Health Care Services
"AbbVie, Inc.",0.524,ABBV,"North Chicago, Illinois",Health Care,Biotechnology
3M Co.,0.524,MMM,"Saint Paul, Minnesota",Industrials,Industrial Conglomerates
"Altria Group, Inc.",0.52,MO,"Richmond, Virginia",Consumer Staples,Tobacco
United Technologies Corp.,0.513,UTX,"Farmington, CT",Industrials,Aerospace & Defense
The Boeing Co.,0.488,BA,"Arlington, Virginia",Industrials,Aerospace & Defense
Bristol-Myers Squibb Co.,0.484,BMY,"New York City, New York",Health Care,Pharmaceuticals
"UnitedHealth Group, Inc.",0.479,UNH,"Eden Prairie, Minnesota",Health Care,Managed Health Care
American Express Co.,0.45,AXP,"New York City, New York",Financials,Consumer Finance
"Biogen Idec, Inc.",0.446,BIIB,"Cambridge, Massachusetts",Health Care,Biotechnology
"American International Group, Inc.",0.44,AIG,"New York City, New York",Financials,Multi-line Insurance
Celgene Corp.,0.433,CELG,"Summit, NJ",Health Care,Biotechnology
U.S. Bancorp,0.43,USB,"Minneapolis, Minnesota",Financials,Diversified Banks
"The Goldman Sachs Group, Inc.",0.43,GS,"New York City, New York",Financials,Investment Banking & Brokerage
Occidental Petroleum Corp.,0.428,OXY,"Houston, Texas",Energy,Oil & Gas Exploration & Production
"Honeywell International, Inc.",0.416,HON,"Charlotte, North Carolina",Industrials,Industrial Conglomerates
"MasterCard, Inc. (Class A)",0.415,MA,"Harrison, New York",Financials,Transaction & Payment Processing Services
"United Parcel Service, Inc. (Class B)",0.396,UPS,"Sandy Springs, Georgia",Industrials,Air Freight & Logistics
Hewlett-Packard Co.,0.379,HPQ,"Palo Alto, California",Information Technology,"Technology Hardware, Storage & Peripherals"
E. I. du Pont de Nemours & Co.,0.376,DD,"Wilmington, Delaware",Materials,Specialty Chemicals
"Twenty-First Century Fox, Inc. (Class A)",0.369,FOXA,"New York City, New York",Communication Services,Broadcasting
"Time Warner, Inc.",0.367,TWX,"New York, NY",Communication Services,Movies & Entertainment
"eBay, Inc.",0.365,EBAY,"San Jose, California",Consumer Discretionary,Broadline Retail
Actavis PLC,0.364,AGN,"Dublin, Ireland",Health Care,Pharmaceuticals
Eli Lilly & Co.,0.364,LLY,"Indianapolis, Indiana",Health Care,Pharmaceuticals
"NIKE, Inc. (Class B)",0.358,NKE,"Washington County, Oregon",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Abbott Laboratories,0.357,ABT,"North Chicago, Illinois",Health Care,Health Care Equipment
"Caterpillar, Inc.",0.355,CAT,"Irving, Texas",Industrials,Construction Machinery & Heavy Transportation Equipment
"Medtronic, Inc.",0.347,MDT,"Dublin, Ireland",Health Care,Health Care Equipment
