Company,Weight,Ticker,Headquarters,GICS Sector,GICS Sub-Industry
"Apple, Inc.",7.279,AAPL,"Cupertino, California",Information Technology,"Technology Hardware, Storage & Peripherals"
Microsoft Corp.,6.571,MSFT,"Redmond, Washington",Information Technology,Systems Software
NVIDIA Corp.,6.138,NVDA,"Santa Clara, California",Information Technology,Semiconductors
"Amazon.com, Inc. ",3.576,AMZN,"Seattle, Washington",Consumer Discretionary,Broadline Retail
"Meta Platforms, Inc. Class A",2.57,META,"Menlo Park, California",Communication Services,Interactive Media & Services
"Alphabet, Inc. Class A",1.997,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
"Berkshire Hathaway, Inc. Class B ",1.732,BRK.B,"Omaha, Nebraska",Financials,Multi-Sector Holdings
"Alphabet, Inc. Class C",1.65,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
"Broadcom, Inc.",1.65,AVGO,"Palo Alto, California",Information Technology,Semiconductors
"Tesla, Inc. ",1.492,TSLA,"Austin, Texas",Consumer Discretionary,Automobile Manufacturers
Eli Lilly & Co.,1.436,LLY,"Indianapolis, Indiana",Health Care,Pharmaceuticals
JPMorgan Chase & Co.,1.233,JPM,"New York City, New York",Financials,Diversified Banks
"UnitedHealth Group, Inc.",1.109,UNH,"Eden Prairie, Minnesota",Health Care,Managed Health Care
Exxon Mobil Corp.,1.07,XOM,"Irving, Texas",Energy,Integrated Oil & Gas
"Visa, Inc. Class A",0.944,V,"San Francisco, California",Financials,Transaction & Payment Processing Services
Procter & Gamble Co.,0.838,PG,"Cincinnati, Ohio",Consumer Staples,Personal Care Products
"Mastercard, Inc. Class A",0.837,MA,"Harrison, New York",Financials,Transaction & Payment Processing Services
"Home Depot, Inc.",0.826,HD,"Atlanta, Georgia",Consumer Discretionary,Home Improvement Retail
Costco Wholesale Corp.,0.807,COST,"Issaquah, Washington",Consumer Staples,Consumer Staples Merchandise Retail
Johnson & Johnson,0.802,JNJ,"New Brunswick, New Jersey",Health Care,Pharmaceuticals
"Walmart, Inc.",0.721,WMT,"Bentonville, Arkansas",Consumer Staples,Consumer Staples Merchandise Retail
"AbbVie, Inc.",0.717,ABBV,"North Chicago, Illinois",Health Care,Biotechnology
"Netflix, Inc. ",0.625,NFLX,"Los Gatos, California",Communication Services,Movies & Entertainment
"Merck & Co., Inc.",0.592,MRK,"Kenilworth, New Jersey",Health Care,Pharmaceuticals
Coca-Cola Co.,0.573,KO,"Atlanta, Georgia",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Oracle Corp.,0.56,ORCL,"Austin, Texas",Information Technology,Application Software
Bank of America Corp.,0.55,BAC,"Charlotte, North Carolina",Financials,Diversified Banks
"Advanced Micro Devices, Inc. ",0.546,AMD,"Santa Clara, California",Information Technology,Semiconductors
"Salesforce, Inc.",0.545,CRM,"San Francisco, California",Information Technology,Application Software
Chevron Corp.,0.515,CVX,"Houston, Texas",Energy,Integrated Oil & Gas
"Thermo Fisher Scientific, Inc.",0.485,TMO,"Waltham, Massachusetts",Health Care,Life Sciences Tools & Services
"PepsiCo, Inc.",0.48,PEP,"Purchase, New York",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"Adobe, Inc. ",0.472,ADBE,"San Jose, California",Information Technology,Application Software
Linde PLC,0.471,LIN,"Guildford, United Kingdom",Materials,Industrial Gases
Accenture PLC Class A,0.455,ACN,"Dublin, Ireland",Information Technology,IT Consulting & Other Services
McDonald's Corp.,0.449,MCD,"Chicago, Illinois",Consumer Discretionary,Restaurants
"Cisco Systems, Inc.",0.441,CSCO,"San Jose, California",Information Technology,Communications Equipment
General Electric Co.,0.42,GE,"Evendale, Ohio",Industrials,Aerospace & Defense
International Business Machines Corp.,0.419,IBM,"Armonk, New York",Information Technology,IT Consulting & Other Services
Abbott Laboratories,0.408,ABT,"North Chicago, Illinois",Health Care,Health Care Equipment
Wells Fargo & Co.,0.395,WFC,"San Francisco, California",Financials,Diversified Banks
"Caterpillar, Inc.",0.39,CAT,"Irving, Texas",Industrials,Construction Machinery & Heavy Transportation Equipment
"QUALCOMM, Inc.",0.389,QCOM,"San Diego, California",Information Technology,Semiconductors
"Verizon Communications, Inc.",0.388,VZ,"New York City, New York",Communication Services,Integrated Telecommunication Services
"Philip Morris International, Inc.",0.388,PM,"New York City, New York",Consumer Staples,Tobacco
"Texas Instruments, Inc.",0.387,TXN,"Dallas, Texas",Information Technology,Semiconductors
"ServiceNow, Inc. ",0.378,NOW,"Santa Clara, California",Information Technology,Systems Software
Danaher Corp.,0.367,DHR,"Washington, D.C.",Health Care,Life Sciences Tools & Services
