Company,Weight,Ticker,Headquarters,GICS Sector,GICS Sub-Industry
"Apple, Inc.",3.431,AAPL,"Cupertino, California",Information Technology,"Technology Hardware, Storage & Peripherals"
Exxon Mobil Corp.,3.429,XOM,"Irving, Texas",Energy,Integrated Oil & Gas
International Business Machines Corp.,2.03,IBM,"Armonk, New York",Information Technology,IT Consulting & Other Services
Microsoft Corp.,1.802,MSFT,"Redmond, Washington",Information Technology,Systems Software
Chevron Corp.,1.801,CVX,"Houston, Texas",Energy,Integrated Oil & Gas
Johnson & Johnson,1.697,JNJ,"New Brunswick, New Jersey",Health Care,Pharmaceuticals
The Procter & Gamble Co.,1.685,PG,"Cincinnati, Ohio",Consumer Staples,Personal Care Products
"AT&T, Inc.",1.641,T,"Dallas, Texas",Communication Services,Integrated Telecommunication Services
General Electric Co.,1.57,GE,"Evendale, Ohio",Industrials,Aerospace & Defense
TheCoca-ColaCo.,1.506,KO,"Atlanta, Georgia",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"Pfizer, Inc.",1.339,PFE,"New York City, New York",Health Care,Pharmaceuticals
"Google, Inc. (Class A)",1.259,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
Wells Fargo & Co.,1.237,WFC,"San Francisco, California",Financials,Diversified Banks
"Berkshire Hathaway, Inc. (Class B)",1.213,BRK.B,"Omaha, Nebraska",Financials,Multi-Sector Holdings
JPMorgan Chase & Co.,1.14,JPM,"New York City, New York",Financials,Diversified Banks
Oracle Corp.,1.103,ORCL,"Austin, Texas",Information Technology,Application Software
Intel Corp.,1.088,INTC,"Santa Clara, California",Information Technology,Semiconductors
"Philip Morris International, Inc.",1.064,PM,"New York City, New York",Consumer Staples,Tobacco
"Verizon Communications, Inc.",1.012,VZ,"New York City, New York",Communication Services,Integrated Telecommunication Services
"Merck & Co., Inc.",0.977,MRK,"Kenilworth, New Jersey",Health Care,Pharmaceuticals
"PepsiCo, Inc.",0.952,PEP,"Purchase, New York",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"Wal-Mart Stores, Inc.",0.886,WMT,"Bentonville, Arkansas",Consumer Staples,Consumer Staples Merchandise Retail
McDonald’s Corp.,0.88,MCD,"Chicago, Illinois",Consumer Discretionary,Restaurants
ConocoPhillips,0.843,COP,"Houston, Texas",Energy,Oil & Gas Exploration & Production
"Cisco Systems, Inc.",0.828,CSCO,"San Jose, California",Information Technology,Communications Equipment
"QUALCOMM, Inc.",0.794,QCOM,"San Diego, California",Information Technology,Semiconductors
"Schlumberger, Ltd.",0.783,SLB,"Houston, Texas",Energy,Oil & Gas Equipment & Services
Abbott Laboratories,0.774,ABT,"North Chicago, Illinois",Health Care,Health Care Equipment
