Company,Weight,Ticker,Headquarters,GICS Sector,GICS Sub-Industry
"Apple, Inc.",3.717,AAPL,"Cupertino, California",Information Technology,"Technology Hardware, Storage & Peripherals"
Microsoft Corp.,2.092,MSFT,"Redmond, Washington",Information Technology,Systems Software
Exxon Mobil Corp.,1.833,XOM,"Irving, Texas",Energy,Integrated Oil & Gas
Johnson & Johnson,1.527,JNJ,"New Brunswick, New Jersey",Health Care,Pharmaceuticals
General Electric Co.,1.505,GE,"Evendale, Ohio",Industrials,Aerospace & Defense
"Berkshire Hathaway, Inc. (Class B)",1.445,BRK.B,"Omaha, Nebraska",Financials,Multi-Sector Holdings
Wells Fargo & Co.,1.419,WFC,"San Francisco, California",Financials,Diversified Banks
JPMorgan Chase & Co.,1.334,JPM,"New York City, New York",Financials,Diversified Banks
"Facebook, Inc. (Class A)",1.203,META,"Menlo Park, California",Communication Services,Interactive Media & Services
"AT&T, Inc.",1.185,T,"Dallas, Texas",Communication Services,Integrated Telecommunication Services
"Amazon.com, Inc.",1.161,AMZN,"Seattle, Washington",Consumer Discretionary,Broadline Retail
Procter & Gamble Co.,1.154,PG,"Cincinnati, Ohio",Consumer Staples,Personal Care Products
"Pfizer, Inc.",1.145,PFE,"New York City, New York",Health Care,Pharmaceuticals
"Alphabet, Inc. (Class A)",1.094,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
"Alphabet, Inc. (Class C)",1.065,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
"Verizon Communications, Inc.",1.046,VZ,"New York City, New York",Communication Services,Integrated Telecommunication Services
Bank of America Corp.,0.964,BAC,"Charlotte, North Carolina",Financials,Diversified Banks
Walt Disney Co.,0.938,DIS,"Burbank, California",Communication Services,Movies & Entertainment
Coca-Cola Co.,0.927,KO,"Atlanta, Georgia",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"Citigroup, Inc.",0.882,C,"New York City, New York",Financials,Diversified Banks
Chevron Corp.,0.877,CVX,"Houston, Texas",Energy,Integrated Oil & Gas
"Home Depot, Inc.",0.876,HD,"Atlanta, Georgia",Consumer Discretionary,Home Improvement Retail
"Gilead Sciences, Inc.",0.851,GILD,"Foster City, California",Health Care,Biotechnology
Intel Corp.,0.847,INTC,"Santa Clara, California",Information Technology,Semiconductors
"Merck & Co., Inc.",0.822,MRK,"Kenilworth, New Jersey",Health Care,Pharmaceuticals
"PepsiCo, Inc.",0.819,PEP,"Purchase, New York",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"Visa, Inc. (Class A)",0.804,V,"San Francisco, California",Financials,Transaction & Payment Processing Services
