Company,Weight,Ticker,Headquarters,GICS Sector,GICS Sub-Industry
Exxon Mobil Corp,3.614,XOM,"Irving, Texas",Energy,Integrated Oil & Gas
General Electric Co,3.22,GE,"Evendale, Ohio",Industrials,Aerospace & Defense
Microsoft Corp,2.139,MSFT,"Redmond, Washington",Information Technology,Systems Software
"Citigroup, Inc",2.123,C,"New York City, New York",Financials,Diversified Banks
Johnson & Johnson Co,1.698,JNJ,"New Brunswick, New Jersey",Health Care,Pharmaceuticals
"Pfizer, Inc",1.663,PFE,"New York City, New York",Health Care,Pharmaceuticals
Bank of America Corp,1.526,BAC,"Charlotte, North Carolina",Financials,Diversified Banks
"American International Group, Inc",1.451,AIG,"New York City, New York",Financials,Multi-line Insurance
"Altria Group, Inc",1.38,MO,"Richmond, Virginia",Consumer Staples,Tobacco
Procter & Gamble Co,1.376,PG,"Cincinnati, Ohio",Consumer Staples,Personal Care Products
Intel Corp,1.356,INTC,"Santa Clara, California",Information Technology,Semiconductors
ChevronTexaco Corp,1.317,CVX,"Houston, Texas",Energy,Integrated Oil & Gas
International Business Machines Corp,1.156,IBM,"Armonk, New York",Information Technology,IT Consulting & Other Services
JPMorgan Chase & Co,1.078,JPM,"New York City, New York",Financials,Diversified Banks
"Cisco Systems, Inc ",1.036,CSCO,"San Jose, California",Information Technology,Communications Equipment
"Wal-Mart Stores, Inc",0.987,WMT,"Bentonville, Arkansas",Consumer Staples,Consumer Staples Merchandise Retail
Wells Fargo & Co,0.894,WFC,"San Francisco, California",Financials,Diversified Banks
"Amgen, Inc ",0.889,AMGN,"Thousand Oaks, California",Health Care,Biotechnology
"ConocoPhillips, Inc",0.88,COP,"Houston, Texas",Energy,Oil & Gas Exploration & Production
"PepsiCo, Inc",0.856,PEP,"Purchase, New York",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"Verizon Communications, Inc",0.818,VZ,"New York City, New York",Communication Services,Integrated Telecommunication Services
Coca-Cola Co (The),0.809,KO,"Atlanta, Georgia",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"Time Warner, Inc",0.769,TWX,"New York, NY",Communication Services,Movies & Entertainment
Hewlett-Packard Co,0.756,HPQ,"Palo Alto, California",Information Technology,"Technology Hardware, Storage & Peripherals"
"Dell, Inc ",0.741,DELL,"Round Rock, Texas",Information Technology,"Technology Hardware, Storage & Peripherals"
"Home Depot, Inc",0.738,HD,"Atlanta, Georgia",Consumer Discretionary,Home Improvement Retail
"SBC Communications, Inc",0.716,SBC,"Irvine, CA",Industrials,Consulting Services
"United Parcel Service, Inc, (Class B)",0.692,UPS,"Sandy Springs, Georgia",Industrials,Air Freight & Logistics
Wachovia Corp,0.679,WB,"Beijing, China",Communication Services,Internet Content & Information
"QUALCOMM, Inc",0.66,QCOM,"San Diego, California",Information Technology,Semiconductors
American Express Co,0.643,AXP,"New York City, New York",Financials,Consumer Finance
"UnitedHealth Group, Inc",0.642,UNH,"Eden Prairie, Minnesota",Health Care,Managed Health Care
Sprint Nextel Corp,0.631,S,"Mountain View, CA",Technology,Software - Infrastructure
Abbott Laboratories,0.596,ABT,"North Chicago, Illinois",Health Care,Health Care Equipment
"Medtronic, Inc",0.587,MDT,"Dublin, Ireland",Health Care,Health Care Equipment
"Comcast Corp, (Class A) ",0.583,CMCSA,"Philadelphia, Pennsylvania",Communication Services,Cable & Satellite
Wyeth,0.561,WYE,"Madison, NJ",Health Care,Pharmaceuticals
Lilly (Eli) & Co,0.549,LLY,"Indianapolis, Indiana",Health Care,Pharmaceuticals
"Merck & Co, Inc",0.54,MRK,"Kenilworth, New Jersey",Health Care,Pharmaceuticals
Morgan Stanley,0.529,MS,"New York City, New York",Financials,Investment Banking & Brokerage
"Goldman Sachs Group, Inc,",0.515,GS,"New York City, New York",Financials,Investment Banking & Brokerage
"Merrill Lynch & Co, Inc",0.513,MER,"New York, NY",Financials,Investment Banking & Brokerage
Tyco International Ltd,0.51,TYC,"Schaffhausen, Switzerland",Industrials,Industrial Conglomerates
3M Co,0.507,MMM,"Saint Paul, Minnesota",Industrials,Industrial Conglomerates
Boeing Co,0.504,BA,"Arlington, Virginia",Industrials,Aerospace & Defense
"Texas Instruments, Inc",0.5,TXN,"Dallas, Texas",Information Technology,Semiconductors
"Motorola, Inc",0.494,MSI,"Chicago, Illinois",Information Technology,Communications Equipment
United Technologies Corp,0.481,UTX,"Farmington, CT",Industrials,Aerospace & Defense
Gillette Co,0.472,G,"Hamilton, Bermuda",Technology,Information Technology Services
"Viacom, Inc, (Class B)",0.472,VIAB,"New York, NY",Communication Services,Movies & Entertainment
US Bancorp,0.464,USB,"Minneapolis, Minnesota",Financials,Diversified Banks
"Lowe's Companies, Inc",0.455,LOW,"Mooresville, North Carolina",Consumer Discretionary,Home Improvement Retail
Schlumberger Ltd,0.449,SLB,"Houston, Texas",Energy,Oil & Gas Equipment & Services
Disney (Walt) Co (The),0.437,DIS,"Burbank, California",Communication Services,Movies & Entertainment
BellSouth Corp,0.436,BLS,"Atlanta, GA",Communication Services,Integrated Telecommunication Services
Bristol-Myers Squibb Co,0.426,BMY,"New York City, New York",Health Care,Pharmaceuticals
Oracle Corp ,0.422,ORCL,"Austin, Texas",Information Technology,Application Software
"WellPoint, Inc ",0.421,ANTM,"Indianapolis, IN",Health Care,Managed Health Care
Target Corp,0.416,TGT,"Minneapolis, Minnesota",Consumer Staples,Consumer Staples Merchandise Retail
"eBay, Inc ",0.408,EBAY,"San Jose, California",Consumer Discretionary,Broadline Retail
"Apple Computer, Inc ",0.403,AAPL,"Cupertino, California",Information Technology,"Technology Hardware, Storage & Peripherals"
Walgreen Co,0.402,WBA,"Deerfield, IL",Consumer Staples,Drug Retail
Fannie Mae,0.392,FNMA,"Washington, DC",Financial Services,Mortgage Finance
"Yahoo!, Inc ",0.381,YHOO,"Sunnyvale, CA",Communication Services,Interactive Media & Services
McDonald's Corp,0.376,MCD,"Chicago, Illinois",Consumer Discretionary,Restaurants
Dow Chemical Co,0.364,DOW,"Midland, Michigan",Materials,Commodity Chemicals
"Caterpillar, Inc",0.359,CAT,"Irving, Texas",Industrials,Construction Machinery & Heavy Transportation Equipment
Freddie Mac,0.353,FMCC,"McLean, VA",Financial Services,Mortgage Finance
Du Pont (EI) de Nemours,0.352,DD,"Wilmington, Delaware",Materials,Specialty Chemicals
News Corp (Class A),0.345,NWSA,"New York City, New York",Communication Services,Publishing
"MetLife, Inc",0.342,MET,"New York City, New York",Financials,Life & Health Insurance
Allstate Corp,0.328,ALL,"Northbrook, Illinois",Financials,Property & Casualty Insurance
Exelon Corp,0.324,EXC,"Chicago, Illinois",Utilities,Electric Utilities
Halliburton Co,0.315,HAL,"Houston, Texas",Energy,Oil & Gas Equipment & Services
Valero Energy Corp,0.313,VLO,"San Antonio, Texas",Energy,Oil & Gas Refining & Marketing
"Prudential Financial, Inc",0.313,PRU,"Newark, New Jersey",Financials,Life & Health Insurance
"Washington Mutual, Inc",0.312,WM,"Houston, Texas",Industrials,Environmental & Facilities Services
Occidental Petroleum Corp,0.309,OXY,"Houston, Texas",Energy,Oil & Gas Exploration & Production
"Anheuser-Busch Cos, Inc",0.302,BUD,"Leuven, Belgium",Consumer Defensive,Beverages - Brewers
"Honeywell International, Inc",0.29,HON,"Charlotte, North Carolina",Industrials,Industrial Conglomerates
"Lehman Brothers Holdings, Inc",0.286,LEH,"New York, NY",Financials,Investment Banking & Brokerage
EMC Corp ,0.282,EMC,"Hopkinton, MA",Information Technology,"Technology Hardware, Storage & Peripherals"
Schering-Plough Corp,0.281,SGP,"Kenilworth, NJ",Health Care,Pharmaceuticals
Devon Energy Corp,0.281,DVN,"Oklahoma City, Oklahoma",Energy,Oil & Gas Exploration & Production
MBNA Corp,0.28,KRB,"Charlotte, NC",Financials,Regional Banks
First Data Corp,0.279,FDC,"Atlanta, GA",Information Technology,Data Processing & Outsourced Services
"Burlington Resources, Inc",0.278,BR,"Lake Success, New York",Industrials,Data Processing & Outsourced Services
"St Paul Travelers Cos, Inc (The)",0.274,TRV,"New York City, New York",Financials,Property & Casualty Insurance
Emerson Electric Co,0.268,EMR,"Ferguson, Missouri",Industrials,Electrical Components & Equipment
"Dominion Resources, Inc",0.266,D,"Richmond, Virginia",Utilities,Multi-Utilities
"Corning, Inc ",0.258,GLW,"Corning, New York",Information Technology,Electronic Components
Kimberly-Clark Corp,0.256,KMB,"Irving, Texas",Consumer Staples,Household Products
Colgate-Palmolive Co,0.248,CL,"New York City, New York",Consumer Staples,Household Products
"Applied Materials, Inc",0.247,AMAT,"Santa Clara, California",Information Technology,Semiconductor Materials & Equipment
Symantec Corp ,0.246,SYMC,"Tempe, AZ",Information Technology,Systems Software
TXU Corp,0.245,TXU,"Dallas, TX",Utilities,Electric Utilities
"Cardinal Health, Inc",0.245,CAH,"Dublin, Ohio",Health Care,Health Care Distributors
Duke Energy Corp,0.244,DUK,"Charlotte, North Carolina",Utilities,Electric Utilities
