Company,Weight,Ticker,Headquarters,GICS Sector,GICS Sub-Industry
General Electric Co,3.41,GE,"Evendale, Ohio",Industrials,Aerospace & Defense
Exxon Mobil Corp,3.023,XOM,"Irving, Texas",Energy,Integrated Oil & Gas
Microsoft Corp,2.892,MSFT,"Redmond, Washington",Information Technology,Systems Software
Pfizer Inc,2.221,PFE,"New York City, New York",Health Care,Pharmaceuticals
"Citigroup, Inc",2.198,C,"New York City, New York",Financials,Diversified Banks
"Wal-Mart Stores, Inc",2.17,WMT,"Bentonville, Arkansas",Consumer Staples,Consumer Staples Merchandise Retail
"American International Group, Inc",1.703,AIG,"New York City, New York",Financials,Multi-line Insurance
Bank of America Corp,1.695,BAC,"Charlotte, North Carolina",Financials,Diversified Banks
Johnson & Johnson Co,1.607,JNJ,"New Brunswick, New Jersey",Health Care,Pharmaceuticals
International Business Machines Corp,1.381,IBM,"Armonk, New York",Information Technology,IT Consulting & Other Services
JP Morgan Chase & Co,1.361,JPM,"New York City, New York",Financials,Diversified Banks
Procter & Gamble Co,1.323,PG,"Cincinnati, Ohio",Consumer Staples,Personal Care Products
Intel Corp,1.237,INTC,"Santa Clara, California",Information Technology,Semiconductors
"Cisco Systems, Inc ",1.176,CSCO,"San Jose, California",Information Technology,Communications Equipment
ChevronTexaco Corp,1.099,CVX,"Houston, Texas",Energy,Integrated Oil & Gas
Verizon Communications Inc,1.048,VZ,"New York City, New York",Communication Services,Integrated Telecommunication Services
Wells Fargo & Co,0.967,WFC,"San Francisco, California",Financials,Diversified Banks
Coca-Cola Co (The),0.934,KO,"Atlanta, Georgia",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"Altria Group, Inc",0.926,MO,"Richmond, Virginia",Consumer Staples,Tobacco
Dell Inc ,0.855,DELL,"Round Rock, Texas",Information Technology,"Technology Hardware, Storage & Peripherals"
"Home Depot, Inc",0.827,HD,"Atlanta, Georgia",Consumer Discretionary,Home Improvement Retail
SBC Communications Inc,0.826,SBC,"Irvine, CA",Industrials,Consulting Services
United Parcel Service Inc (Class B),0.823,UPS,"Sandy Springs, Georgia",Industrials,Air Freight & Logistics
"PepsiCo, Inc",0.793,PEP,"Purchase, New York",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"Time Warner, Inc ",0.707,TWX,"New York, NY",Communication Services,Movies & Entertainment
"Merck & Co, Inc",0.705,MRK,"Kenilworth, New Jersey",Health Care,Pharmaceuticals
Amgen Inc ,0.692,AMGN,"Thousand Oaks, California",Health Care,Biotechnology
Lilly (Eli) & Co,0.65,LLY,"Indianapolis, Indiana",Health Care,Pharmaceuticals
Abbott Laboratories,0.635,ABT,"North Chicago, Illinois",Health Care,Health Care Equipment
American Express Co,0.627,AXP,"New York City, New York",Financials,Consumer Finance
Comcast Corp (Class A) ,0.609,CMCSA,"Philadelphia, Pennsylvania",Communication Services,Cable & Satellite
"QUALCOMM, Inc",0.608,QCOM,"San Diego, California",Information Technology,Semiconductors
"Medtronic, Inc",0.605,MDT,"Dublin, Ireland",Health Care,Health Care Equipment
3M Co,0.601,MMM,"Saint Paul, Minnesota",Industrials,Industrial Conglomerates
Wachovia Corp,0.591,WB,"Beijing, China",Communication Services,Internet Content & Information
Fannie Mae,0.591,FNMA,"Washington, DC",Financial Services,Mortgage Finance
Tyco International Ltd,0.59,TYC,"Schaffhausen, Switzerland",Industrials,Industrial Conglomerates
"eBay, Inc ",0.582,EBAY,"San Jose, California",Consumer Discretionary,Broadline Retail
Oracle Corp ,0.563,ORCL,"Austin, Texas",Information Technology,Application Software
"Viacom, Inc",0.56,VIAB,"New York, NY",Communication Services,Movies & Entertainment
Hewlett-Packard Co,0.544,HPQ,"Palo Alto, California",Information Technology,"Technology Hardware, Storage & Peripherals"
"Conoco Phillips, Inc",0.544,COP,"Houston, Texas",Energy,Oil & Gas Exploration & Production
US Bancorp,0.522,USB,"Minneapolis, Minnesota",Financials,Diversified Banks
Morgan Stanley Dean Witter & Co,0.52,MS,"New York City, New York",Financials,Investment Banking & Brokerage
Wyeth,0.48,WYE,"Madison, NJ",Health Care,Pharmaceuticals
BellSouth Corp,0.479,BLS,"Atlanta, GA",Communication Services,Integrated Telecommunication Services
"UnitedHealth Group, Inc",0.474,UNH,"Eden Prairie, Minnesota",Health Care,Managed Health Care
United Technologies Corp,0.461,UTX,"Farmington, CT",Industrials,Aerospace & Defense
"Merrill Lynch & Co, Inc",0.449,MER,"New York, NY",Financials,Investment Banking & Brokerage
Disney (Walt) Co (The),0.445,DIS,"Burbank, California",Communication Services,Movies & Entertainment
"Yahoo!, Inc ",0.444,YHOO,"Sunnyvale, CA",Communication Services,Interactive Media & Services
Bristol-Myers Squibb Co,0.443,BMY,"New York City, New York",Health Care,Pharmaceuticals
