Company,Weight,Ticker,Headquarters,GICS Sector,GICS Sub-Industry
Exxon Mobil Corp.,3.044,XOM,"Irving, Texas",Energy,Integrated Oil & Gas
"Apple, Inc.",2.509,AAPL,"Cupertino, California",Information Technology,"Technology Hardware, Storage & Peripherals"
Microsoft Corp.,1.806,MSFT,"Redmond, Washington",Information Technology,Systems Software
General Electric Co.,1.681,GE,"Evendale, Ohio",Industrials,Aerospace & Defense
Johnson & Johnson,1.653,JNJ,"New Brunswick, New Jersey",Health Care,Pharmaceuticals
The Procter & Gamble Co.,1.646,PG,"Cincinnati, Ohio",Consumer Staples,Personal Care Products
International BusinessMachines Corp.,1.636,IBM,"Armonk, New York",Information Technology,IT Consulting & Other Services
"AT&T, Inc.",1.635,T,"Dallas, Texas",Communication Services,Integrated Telecommunication Services
Chevron Corp.,1.575,CVX,"Houston, Texas",Energy,Integrated Oil & Gas
JPMorgan Chase & Co.,1.46,JPM,"New York City, New York",Financials,Diversified Banks
"Berkshire Hathaway, Inc. (Class B) ",1.386,BRK.B,"Omaha, Nebraska",Financials,Multi-Sector Holdings
"Pfizer, Inc.",1.335,PFE,"New York City, New York",Health Care,Pharmaceuticals
TheCoca-ColaCo.,1.306,KO,"Atlanta, Georgia",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Wells Fargo & Co.,1.273,WFC,"San Francisco, California",Financials,Diversified Banks
Bank of America Corp.,1.272,BAC,"Charlotte, North Carolina",Financials,Diversified Banks
"Google, Inc. (Class A)",1.266,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
"Cisco Systems, Inc.",1.21,CSCO,"San Jose, California",Information Technology,Communications Equipment
"Merck & Co., Inc.",1.096,MRK,"Kenilworth, New Jersey",Health Care,Pharmaceuticals
Intel Corp.,1.035,INTC,"Santa Clara, California",Information Technology,Semiconductors
"Wal-Mart Stores, Inc.",1.034,WMT,"Bentonville, Arkansas",Consumer Staples,Consumer Staples Merchandise Retail
"PepsiCo, Inc.",1.022,PEP,"Purchase, New York",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Oracle Corp.,1.005,ORCL,"Austin, Texas",Information Technology,Application Software
"Philip Morris International, Inc.",0.993,PM,"New York City, New York",Consumer Staples,Tobacco
Hewlett-Packard Co.,0.922,HPQ,"Palo Alto, California",Information Technology,"Technology Hardware, Storage & Peripherals"
