Company,Weight,Ticker,Headquarters,GICS Sector,GICS Sub-Industry
Microsoft Corp,3.267,MSFT,"Redmond, Washington",Information Technology,Systems Software
General Electric Co,3.245,GE,"Evendale, Ohio",Industrials,Aerospace & Defense
"Wal-Mart Stores, Inc",2.652,WMT,"Bentonville, Arkansas",Consumer Staples,Consumer Staples Merchandise Retail
Exxon Mobil Corp,2.64,XOM,"Irving, Texas",Energy,Integrated Oil & Gas
"Pfizer, Inc",2.571,PFE,"New York City, New York",Health Care,Pharmaceuticals
"Citigroup, Inc",2.547,C,"New York City, New York",Financials,Diversified Banks
Intel Corp,1.947,INTC,"Santa Clara, California",Information Technology,Semiconductors
International Business Machines Corp,1.662,IBM,"Armonk, New York",Information Technology,IT Consulting & Other Services
"American International Group, Inc",1.64,AIG,"New York City, New York",Financials,Multi-line Insurance
Johnson & Johnson Company,1.601,JNJ,"New Brunswick, New Jersey",Health Care,Pharmaceuticals
"Cisco Systems, Inc ",1.494,CSCO,"San Jose, California",Information Technology,Communications Equipment
Procter & Gamble Co,1.307,PG,"Cincinnati, Ohio",Consumer Staples,Personal Care Products
Bank of America Corp,1.267,BAC,"Charlotte, North Carolina",Financials,Diversified Banks
"Merck & Co, Inc",1.231,MRK,"Kenilworth, New Jersey",Health Care,Pharmaceuticals
Coca-Cola Co (The),1.147,KO,"Atlanta, Georgia",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Verizon Communications Inc,0.972,VZ,"New York City, New York",Communication Services,Integrated Telecommunication Services
"Altria Group, Inc",0.967,MO,"Richmond, Virginia",Consumer Staples,Tobacco
Wells Fargo & Co,0.94,WFC,"San Francisco, California",Financials,Diversified Banks
Dell Inc ,0.934,DELL,"Round Rock, Texas",Information Technology,"Technology Hardware, Storage & Peripherals"
Amgen Inc ,0.906,AMGN,"Thousand Oaks, California",Health Care,Biotechnology
"PepsiCo, Inc",0.857,PEP,"Purchase, New York",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
ChevronTexaco Corp,0.83,CVX,"Houston, Texas",Energy,Integrated Oil & Gas
SBC Communications Inc,0.805,SBC,"Irvine, CA",Industrials,Consulting Services
"Home Depot, Inc",0.797,HD,"Atlanta, Georgia",Consumer Discretionary,Home Improvement Retail
United Parcel Service Inc (Class B),0.782,UPS,"Sandy Springs, Georgia",Industrials,Air Freight & Logistics
JP Morgan Chase & Co,0.759,JPM,"New York City, New York",Financials,Diversified Banks
Comcast Corp (Class A) ,0.757,CMCSA,"Philadelphia, Pennsylvania",Communication Services,Cable & Satellite
Fannie Mae,0.743,FNMA,"Washington, DC",Financial Services,Mortgage Finance
"AOL Time Warner, Inc ",0.74,AOL,"New York, NY",Communication Services,Interactive Media & Services
"Viacom, Inc ",0.734,VIAB,"New York, NY",Communication Services,Movies & Entertainment
Lilly (Eli) & Co,0.726,LLY,"Indianapolis, Indiana",Health Care,Pharmaceuticals
Abbott Laboratories,0.723,ABT,"North Chicago, Illinois",Health Care,Health Care Equipment
Wyeth,0.666,WYE,"Madison, NJ",Health Care,Pharmaceuticals
Hewlett-Packard Co,0.643,HPQ,"Palo Alto, California",Information Technology,"Technology Hardware, Storage & Peripherals"
Oracle Corp ,0.64,ORCL,"Austin, Texas",Information Technology,Application Software
American Express Co,0.63,AXP,"New York City, New York",Financials,Consumer Finance
"Medtronic, Inc",0.624,MDT,"Dublin, Ireland",Health Care,Health Care Equipment
Wachovia Corp,0.596,WB,"Beijing, China",Communication Services,Internet Content & Information
