Company,Weight,Ticker,Headquarters,GICS Sector,GICS Sub-Industry
Exxon Mobil Corp,3.812,XOM,"Irving, Texas",Energy,Integrated Oil & Gas
General Electric Co,3.146,GE,"Evendale, Ohio",Industrials,Aerospace & Defense
"AT&T, Inc",1.916,T,"Dallas, Texas",Communication Services,Integrated Telecommunication Services
Microsoft Corp,1.765,MSFT,"Redmond, Washington",Information Technology,Systems Software
"Citigroup, Inc",1.723,C,"New York City, New York",Financials,Diversified Banks
Bank of America Corp,1.65,BAC,"Charlotte, North Carolina",Financials,Diversified Banks
Procter & Gamble Co,1.635,PG,"Cincinnati, Ohio",Consumer Staples,Personal Care Products
"Cisco Systems, Inc ",1.496,CSCO,"San Jose, California",Information Technology,Communications Equipment
Chevron Corp,1.487,CVX,"Houston, Texas",Energy,Integrated Oil & Gas
Johnson & Johnson,1.412,JNJ,"New Brunswick, New Jersey",Health Care,Pharmaceuticals
"American International Group, Inc",1.298,AIG,"New York City, New York",Financials,Multi-line Insurance
"Pfizer, Inc",1.256,PFE,"New York City, New York",Health Care,Pharmaceuticals
International Business Machines Corp,1.188,IBM,"Armonk, New York",Information Technology,IT Consulting & Other Services
JPMorgan Chase & Co,1.157,JPM,"New York City, New York",Financials,Diversified Banks
Intel Corp,1.121,INTC,"Santa Clara, California",Information Technology,Semiconductors
"Altria Group, Inc",1.086,MO,"Richmond, Virginia",Consumer Staples,Tobacco
ConocoPhillips,1.06,COP,"Houston, Texas",Energy,Oil & Gas Exploration & Production
"Apple, Inc ",0.991,AAPL,"Cupertino, California",Information Technology,"Technology Hardware, Storage & Peripherals"
"Google, Inc (Class A) ",0.971,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
Hewlett-Packard Co,0.953,HPQ,"Palo Alto, California",Information Technology,"Technology Hardware, Storage & Peripherals"
"Verizon Communications, Inc",0.949,VZ,"New York City, New York",Communication Services,Integrated Telecommunication Services
"Schlumberger, Ltd",0.929,SLB,"Houston, Texas",Energy,Oil & Gas Equipment & Services
Wells Fargo & Co,0.882,WFC,"San Francisco, California",Financials,Diversified Banks
"PepsiCo, Inc",0.882,PEP,"Purchase, New York",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Coca-Cola Co,0.853,KO,"Atlanta, Georgia",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"Merck & Co, Inc",0.835,MRK,"Kenilworth, New Jersey",Health Care,Pharmaceuticals
"Wal-Mart Stores, Inc",0.782,WMT,"Bentonville, Arkansas",Consumer Staples,Consumer Staples Merchandise Retail
Wachovia Corp,0.708,WB,"Beijing, China",Communication Services,Internet Content & Information
"Goldman Sachs Group, Inc",0.657,GS,"New York City, New York",Financials,Investment Banking & Brokerage
Oracle Corp ,0.637,ORCL,"Austin, Texas",Information Technology,Application Software
Abbott Laboratories,0.615,ABT,"North Chicago, Illinois",Health Care,Health Care Equipment
