Company,Weight,Ticker,Headquarters,GICS Sector,GICS Sub-Industry
NVIDIA Corp.,7.984,NVDA,"Santa Clara, California",Information Technology,Semiconductors
Microsoft Corp.,6.752,MSFT,"Redmond, Washington",Information Technology,Systems Software
"Apple, Inc.",6.627,AAPL,"Cupertino, California",Information Technology,"Technology Hardware, Storage & Peripherals"
"Amazon.com, Inc. ",3.737,AMZN,"Seattle, Washington",Consumer Discretionary,Broadline Retail
"Meta Platforms, Inc. Class A",2.793,META,"Menlo Park, California",Communication Services,Interactive Media & Services
"Broadcom, Inc.",2.721,AVGO,"Palo Alto, California",Information Technology,Semiconductors
"Alphabet, Inc. Class A",2.48,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
"Tesla, Inc. ",2.188,TSLA,"Austin, Texas",Consumer Discretionary,Automobile Manufacturers
"Alphabet, Inc. Class C",1.994,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
"Berkshire Hathaway, Inc. Class B ",1.617,BRK.B,"Omaha, Nebraska",Financials,Multi-Sector Holdings
JPMorgan Chase & Co.,1.521,JPM,"New York City, New York",Financials,Diversified Banks
Eli Lilly & Co.,1.064,LLY,"Indianapolis, Indiana",Health Care,Pharmaceuticals
"Visa, Inc. Class A",1.017,V,"San Francisco, California",Financials,Transaction & Payment Processing Services
"Netflix, Inc. ",0.893,NFLX,"Los Gatos, California",Communication Services,Movies & Entertainment
Exxon Mobil Corp.,0.843,XOM,"Irving, Texas",Energy,Integrated Oil & Gas
"Mastercard, Inc. Class A",0.823,MA,"Harrison, New York",Financials,Transaction & Payment Processing Services
Oracle Corp.,0.817,ORCL,"Austin, Texas",Information Technology,Application Software
"Walmart, Inc.",0.793,WMT,"Bentonville, Arkansas",Consumer Staples,Consumer Staples Merchandise Retail
Johnson & Johnson,0.783,JNJ,"New Brunswick, New Jersey",Health Care,Pharmaceuticals
"Palantir Technologies, Inc. Class A ",0.727,PLTR,"Denver, Colorado",Information Technology,Application Software
Costco Wholesale Corp.,0.72,COST,"Issaquah, Washington",Consumer Staples,Consumer Staples Merchandise Retail
"AbbVie, Inc.",0.717,ABBV,"North Chicago, Illinois",Health Care,Biotechnology
"Home Depot, Inc.",0.707,HD,"Atlanta, Georgia",Consumer Discretionary,Home Improvement Retail
Procter & Gamble Co.,0.631,PG,"Cincinnati, Ohio",Consumer Staples,Personal Care Products
Bank of America Corp.,0.616,BAC,"Charlotte, North Carolina",Financials,Diversified Banks
General Electric Co.,0.559,GE,"Evendale, Ohio",Industrials,Aerospace & Defense
"UnitedHealth Group, Inc.",0.548,UNH,"Eden Prairie, Minnesota",Health Care,Managed Health Care
Chevron Corp.,0.525,CVX,"Houston, Texas",Energy,Integrated Oil & Gas
"Cisco Systems, Inc.",0.475,CSCO,"San Jose, California",Information Technology,Communications Equipment
Wells Fargo & Co.,0.471,WFC,"San Francisco, California",Financials,Diversified Banks
International Business Machines Corp.,0.461,IBM,"Armonk, New York",Information Technology,IT Consulting & Other Services
"Advanced Micro Devices, Inc. ",0.46,AMD,"Santa Clara, California",Information Technology,Semiconductors
Coca-Cola Co.,0.45,KO,"Atlanta, Georgia",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"Philip Morris International, Inc.",0.443,PM,"New York City, New York",Consumer Staples,Tobacco
"Goldman Sachs Group, Inc.",0.423,GS,"New York City, New York",Financials,Investment Banking & Brokerage
Abbott Laboratories,0.409,ABT,"North Chicago, Illinois",Health Care,Health Care Equipment
"Salesforce, Inc.",0.397,CRM,"San Francisco, California",Information Technology,Application Software
RTX Corp.,0.393,RTX,"Waltham, Massachusetts",Industrials,Aerospace & Defense
"Caterpillar, Inc.",0.392,CAT,"Irving, Texas",Industrials,Construction Machinery & Heavy Transportation Equipment
Linde PLC,0.391,LIN,"Guildford, United Kingdom",Materials,Industrial Gases
McDonald's Corp.,0.38,MCD,"Chicago, Illinois",Consumer Discretionary,Restaurants
"Merck & Co., Inc.",0.368,MRK,"Kenilworth, New Jersey",Health Care,Pharmaceuticals
Walt Disney Co.,0.361,DIS,"Burbank, California",Communication Services,Movies & Entertainment
"Uber Technologies, Inc. ",0.358,UBER,"San Francisco, California",Industrials,Passenger Ground Transportation
"AT&T, Inc.",0.354,T,"Dallas, Texas",Communication Services,Integrated Telecommunication Services
AppLovin Corp. Class A ,0.341,APP,"Palo Alto, California",Information Technology,Application Software
Morgan Stanley,0.338,MS,"New York City, New York",Financials,Investment Banking & Brokerage
"PepsiCo, Inc.",0.337,PEP,"Purchase, New York",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"ServiceNow, Inc. ",0.336,NOW,"Santa Clara, California",Information Technology,Systems Software
"Intuit, Inc.",0.334,INTU,"Mountain View, California",Information Technology,Application Software
"Micron Technology, Inc.",0.328,MU,"Boise, Idaho",Information Technology,Semiconductors
"Citigroup, Inc.",0.328,C,"New York City, New York",Financials,Diversified Banks
"Verizon Communications, Inc.",0.325,VZ,"New York City, New York",Communication Services,Integrated Telecommunication Services
"Thermo Fisher Scientific, Inc.",0.321,TMO,"Waltham, Massachusetts",Health Care,Life Sciences Tools & Services
American Express Co.,0.316,AXP,"New York City, New York",Financials,Consumer Finance
"QUALCOMM, Inc.",0.315,QCOM,"San Diego, California",Information Technology,Semiconductors
"Booking Holdings, Inc.",0.307,BKNG,"Norwalk, Connecticut",Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Lam Research Corp.,0.297,LRCX,"Fremont, California",Information Technology,Semiconductor Materials & Equipment
"Blackrock, Inc.",0.294,BLK,"New York City, New York",Financials,Asset Management & Custody Banks
"GE Vernova, Inc.",0.293,GEV,"Cambridge, Massachusetts",Industrials,Heavy Electrical Equipment
"Texas Instruments, Inc.",0.293,TXN,"Dallas, Texas",Information Technology,Semiconductors
"Applied Materials, Inc.",0.288,AMAT,"Santa Clara, California",Information Technology,Semiconductor Materials & Equipment
Boeing Co. ,0.286,BA,"Arlington, Virginia",Industrials,Aerospace & Defense
Charles Schwab Corp.,0.286,SCHW,"Westlake, Texas",Financials,Investment Banking & Brokerage
"TJX Cos., Inc.",0.283,TJX,"Framingham, Massachusetts",Consumer Discretionary,Apparel Retail
"Intuitive Surgical, Inc. ",0.281,ISRG,"Sunnyvale, California",Health Care,Health Care Equipment
"NextEra Energy, Inc.",0.273,NEE,"Juno Beach, Florida",Utilities,Multi-Utilities
Accenture PLC Class A,0.269,ACN,"Dublin, Ireland",Information Technology,IT Consulting & Other Services
"S&P Global, Inc.",0.267,SPGI,"New York City, New York",Financials,Financial Exchanges & Data
"Amgen, Inc.",0.266,AMGN,"Thousand Oaks, California",Health Care,Biotechnology
Amphenol Corp. Class A,0.265,APH,"Wallingford, Connecticut",Information Technology,Electronic Components
"Arista Networks, Inc. ",0.263,ANET,"Santa Clara, California",Information Technology,Communications Equipment
"Adobe, Inc. ",0.262,ADBE,"San Jose, California",Information Technology,Application Software
Intel Corp. ,0.258,INTC,"Santa Clara, California",Information Technology,Semiconductors
Eaton Corp. PLC,0.255,ETN,"Dublin, Ireland",Industrials,Electrical Components & Equipment
"Pfizer, Inc.",0.254,PFE,"New York City, New York",Health Care,Pharmaceuticals
Progressive Corp.,0.254,PGR,"Mayfield Village, Ohio",Financials,Property & Casualty Insurance
Boston Scientific Corp. ,0.254,BSX,"Marlborough, Massachusetts",Health Care,Health Care Equipment
KLA Corp.,0.25,KLAC,"Milpitas, California",Information Technology,Semiconductor Materials & Equipment
"Lowe's Cos., Inc.",0.247,LOW,"Mooresville, North Carolina",Consumer Discretionary,Home Improvement Retail
Union Pacific Corp.,0.246,UNP,"Omaha, Nebraska",Industrials,Rail Transportation
"Gilead Sciences, Inc.",0.241,GILD,"Foster City, California",Health Care,Biotechnology
"Palo Alto Networks, Inc. ",0.238,PANW,"Santa Clara, California",Information Technology,Systems Software
Capital One Financial Corp.,0.238,COF,"Tysons Corner, Virginia",Financials,Consumer Finance
"Honeywell International, Inc.",0.234,HON,"Charlotte, North Carolina",Industrials,Industrial Conglomerates
Stryker Corp.,0.223,SYK,"Kalamazoo, Michigan",Health Care,Health Care Equipment
Danaher Corp.,0.221,DHR,"Washington, D.C.",Health Care,Life Sciences Tools & Services
"Blackstone, Inc.",0.221,BX,"New York City, New York",Financials,Asset Management & Custody Banks
"Crowdstrike Holdings, Inc. Class A ",0.214,CRWD,"Austin, Texas",Information Technology,Systems Software
