Company,Weight,Ticker,Headquarters,GICS Sector,GICS Sub-Industry
Exxon Mobil Corp,3.962,XOM,"Irving, Texas",Energy,Integrated Oil & Gas
General Electric Co,2.492,GE,"Evendale, Ohio",Industrials,Aerospace & Defense
Procter & Gamble Co,2.077,PG,"Cincinnati, Ohio",Consumer Staples,Personal Care Products
Microsoft Corp,2.059,MSFT,"Redmond, Washington",Information Technology,Systems Software
Johnson & Johnson,1.902,JNJ,"New Brunswick, New Jersey",Health Care,Pharmaceuticals
JPMorgan Chase & Co,1.69,JPM,"New York City, New York",Financials,Diversified Banks
Chevron Corp,1.665,CVX,"Houston, Texas",Energy,Integrated Oil & Gas
"AT&T, Inc",1.617,T,"Dallas, Texas",Communication Services,Integrated Telecommunication Services
Bank of America Corp,1.569,BAC,"Charlotte, North Carolina",Financials,Diversified Banks
International Business Machines Corp,1.557,IBM,"Armonk, New York",Information Technology,IT Consulting & Other Services
"Wal-Mart Stores, Inc",1.319,WMT,"Bentonville, Arkansas",Consumer Staples,Consumer Staples Merchandise Retail
"Cisco Systems, Inc ",1.31,CSCO,"San Jose, California",Information Technology,Communications Equipment
"Pfizer, Inc",1.222,PFE,"New York City, New York",Health Care,Pharmaceuticals
Wells Fargo & Co,1.22,WFC,"San Francisco, California",Financials,Diversified Banks
Hewlett-Packard Co,1.112,HPQ,"Palo Alto, California",Information Technology,"Technology Hardware, Storage & Peripherals"
"Citigroup, Inc",1.098,C,"New York City, New York",Financials,Diversified Banks
"PepsiCo, Inc",1.097,PEP,"Purchase, New York",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
ConocoPhillips,1.094,COP,"Houston, Texas",Energy,Oil & Gas Exploration & Production
Intel Corp,1.035,INTC,"Santa Clara, California",Information Technology,Semiconductors
Coca-Cola Co,1.033,KO,"Atlanta, Georgia",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"Apple, Inc ",0.99,AAPL,"Cupertino, California",Information Technology,"Technology Hardware, Storage & Peripherals"
"Philip Morris International, Inc",0.974,PM,"New York City, New York",Consumer Staples,Tobacco
"Google, Inc, (Class A) ",0.94,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
"Schlumberger, Ltd",0.92,SLB,"Houston, Texas",Energy,Oil & Gas Equipment & Services
"Verizon Communications, Inc",0.898,VZ,"New York City, New York",Communication Services,Integrated Telecommunication Services
Abbott Laboratories,0.872,ABT,"North Chicago, Illinois",Health Care,Health Care Equipment
Oracle Corp ,0.782,ORCL,"Austin, Texas",Information Technology,Application Software
"QUALCOMM, Inc",0.693,QCOM,"San Diego, California",Information Technology,Semiconductors
McDonald's Corp,0.682,MCD,"Chicago, Illinois",Consumer Discretionary,Restaurants
"Merck & Co, Inc",0.664,MRK,"Kenilworth, New Jersey",Health Care,Pharmaceuticals
"United Parcel Service, Inc (Class B)",0.623,UPS,"Sandy Springs, Georgia",Industrials,Air Freight & Logistics
US Bancorp,0.616,USB,"Minneapolis, Minnesota",Financials,Diversified Banks
"Amgen, Inc ",0.616,AMGN,"Thousand Oaks, California",Health Care,Biotechnology
United Technologies Corp,0.569,UTX,"Farmington, CT",Industrials,Aerospace & Defense
Walt Disney Co,0.566,DIS,"Burbank, California",Communication Services,Movies & Entertainment
Occidental Petroleum Corp,0.565,OXY,"Houston, Texas",Energy,Oil & Gas Exploration & Production
Comcast Corp (Class A),0.563,CMCSA,"Philadelphia, Pennsylvania",Communication Services,Cable & Satellite
"Medtronic, Inc",0.555,MDT,"Dublin, Ireland",Health Care,Health Care Equipment
"Goldman Sachs Group, Inc",0.546,GS,"New York City, New York",Financials,Investment Banking & Brokerage
Monsanto Co,0.535,MON,"St. Louis, MO",Materials,Fertilizers & Agricultural Chemicals
"Kraft Foods, Inc (Class A)",0.488,KRFT,"Northfield, IL",Consumer Staples,Packaged Foods & Meats
Wyeth,0.484,WYE,"Madison, NJ",Health Care,Pharmaceuticals
CVS Caremark Corp,0.475,CVS,"Woonsocket, Rhode Island",Health Care,Health Care Services
3M Co,0.469,MMM,"Saint Paul, Minnesota",Industrials,Industrial Conglomerates
"Time Warner, Inc",0.461,TWX,"New York, NY",Communication Services,Movies & Entertainment
"Anheuser-Busch Cos, Inc",0.459,BUD,"Leuven, Belgium",Consumer Defensive,Beverages - Brewers
Eli Lilly & Co,0.433,LLY,"Indianapolis, Indiana",Health Care,Pharmaceuticals
"Home Depot, Inc",0.432,HD,"Atlanta, Georgia",Consumer Discretionary,Home Improvement Retail
Boeing Co,0.417,BA,"Arlington, Virginia",Industrials,Aerospace & Defense
"Gilead Sciences, Inc ",0.412,GILD,"Foster City, California",Health Care,Biotechnology
Bristol-Myers Squibb Co,0.406,BMY,"New York City, New York",Health Care,Pharmaceuticals
