Company,Weight,Ticker,Headquarters,GICS Sector,GICS Sub-Industry
Microsoft Corp.,4.297,MSFT,"Redmond, Washington",Information Technology,Systems Software
"Apple, Inc.",3.852,AAPL,"Cupertino, California",Information Technology,"Technology Hardware, Storage & Peripherals"
"Amazon.com, Inc.",2.92,AMZN,"Seattle, Washington",Consumer Discretionary,Broadline Retail
"Facebook, Inc. Class A",1.734,META,"Menlo Park, California",Communication Services,Interactive Media & Services
"Berkshire Hathaway, Inc. Class B",1.651,BRK.B,"Omaha, Nebraska",Financials,Multi-Sector Holdings
JPMorgan Chase & Co.,1.523,JPM,"New York City, New York",Financials,Diversified Banks
"Alphabet, Inc. Class C",1.491,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
"Alphabet, Inc. Class A",1.481,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
Johnson & Johnson,1.382,JNJ,"New Brunswick, New Jersey",Health Care,Pharmaceuticals
Procter & Gamble Co.,1.26,PG,"Cincinnati, Ohio",Consumer Staples,Personal Care Products
Exxon Mobil Corp.,1.209,XOM,"Irving, Texas",Energy,Integrated Oil & Gas
"Visa, Inc. Class A",1.203,V,"San Francisco, California",Financials,Transaction & Payment Processing Services
"AT&T, Inc.",1.119,T,"Dallas, Texas",Communication Services,Integrated Telecommunication Services
"Home Depot, Inc.",1.03,HD,"Atlanta, Georgia",Consumer Discretionary,Home Improvement Retail
"Verizon Communications, Inc.",1.011,VZ,"New York City, New York",Communication Services,Integrated Telecommunication Services
Bank of America Corp.,0.989,BAC,"Charlotte, North Carolina",Financials,Diversified Banks
"Mastercard, Inc. Class A",0.982,MA,"Harrison, New York",Financials,Transaction & Payment Processing Services
Walt Disney Co.,0.95,DIS,"Burbank, California",Communication Services,Movies & Entertainment
Intel Corp.,0.924,INTC,"Santa Clara, California",Information Technology,Semiconductors
Chevron Corp.,0.911,CVX,"Houston, Texas",Energy,Integrated Oil & Gas
"Merck & Co., Inc.",0.873,MRK,"Kenilworth, New Jersey",Health Care,Pharmaceuticals
"Cisco Systems, Inc.",0.849,CSCO,"San Jose, California",Information Technology,Communications Equipment
Coca-Cola Co.,0.848,KO,"Atlanta, Georgia",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"UnitedHealth Group, Inc.",0.833,UNH,"Eden Prairie, Minnesota",Health Care,Managed Health Care
Comcast Corp. Class A,0.828,CMCSA,"Philadelphia, Pennsylvania",Communication Services,Cable & Satellite
Boeing Co.,0.823,BA,"Arlington, Virginia",Industrials,Aerospace & Defense
Wells Fargo & Co.,0.819,WFC,"San Francisco, California",Financials,Diversified Banks
"Pfizer, Inc.",0.805,PFE,"New York City, New York",Health Care,Pharmaceuticals
"PepsiCo, Inc.",0.776,PEP,"Purchase, New York",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"Walmart, Inc.",0.683,WMT,"Bentonville, Arkansas",Consumer Staples,Consumer Staples Merchandise Retail
McDonald’s Corp.,0.66,MCD,"Chicago, Illinois",Consumer Discretionary,Restaurants
"Citigroup, Inc.",0.632,C,"New York City, New York",Financials,Diversified Banks
Abbott Laboratories,0.599,ABT,"North Chicago, Illinois",Health Care,Health Care Equipment
Medtronic PLC,0.59,MDT,"Dublin, Ireland",Health Care,Health Care Equipment
"Adobe Systems, Inc.",0.544,ADBE,"San Jose, California",Information Technology,Application Software
"salesforce.com, Inc.",0.527,CRM,"San Francisco, California",Information Technology,Application Software
International Business Machines Corp.,0.522,IBM,"Armonk, New York",Information Technology,IT Consulting & Other Services
Costco Wholesale Corp.,0.513,COST,"Issaquah, Washington",Consumer Staples,Consumer Staples Merchandise Retail
Accenture PLC Class A,0.495,ACN,"Dublin, Ireland",Information Technology,IT Consulting & Other Services
"PayPal Holdings, Inc.",0.493,PYPL,"San Jose, California",Financials,Transaction & Payment Processing Services
"Honeywell International, Inc.",0.493,HON,"Charlotte, North Carolina",Industrials,Industrial Conglomerates
Oracle Corp.,0.49,ORCL,"Austin, Texas",Information Technology,Application Software
"Texas Instruments, Inc.",0.489,TXN,"Dallas, Texas",Information Technology,Semiconductors
"Philip Morris International, Inc.",0.478,PM,"New York City, New York",Consumer Staples,Tobacco
"NIKE, Inc. Class B",0.476,NKE,"Washington County, Oregon",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
"Netflix, Inc.",0.474,NFLX,"Los Gatos, California",Communication Services,Movies & Entertainment
"Thermo Fisher Scientific, Inc.",0.472,TMO,"Waltham, Massachusetts",Health Care,Life Sciences Tools & Services
"Amgen, Inc.",0.47,AMGN,"Thousand Oaks, California",Health Care,Biotechnology
Union Pacific Corp.,0.463,UNP,"Omaha, Nebraska",Industrials,Rail Transportation
"NextEra Energy, Inc.",0.461,NEE,"Juno Beach, Florida",Utilities,Multi-Utilities
"AbbVie, Inc.",0.452,ABBV,"North Chicago, Illinois",Health Care,Biotechnology
United Technologies Corp.,0.447,UTX,"Farmington, CT",Industrials,Aerospace & Defense
"Broadcom, Inc.",0.445,AVGO,"Palo Alto, California",Information Technology,Semiconductors
Starbucks Corp.,0.428,SBUX,"Seattle, Washington",Consumer Discretionary,Restaurants
NVIDIA Corp.,0.428,NVDA,"Santa Clara, California",Information Technology,Semiconductors
Linde PLC,0.424,LIN,"Guildford, United Kingdom",Materials,Industrial Gases
American Tower Corp. REIT,0.396,AMT,"Boston, Massachusetts",Real Estate,Telecom Tower REITs
Lockheed Martin Corp.,0.392,LMT,"Bethesda, Maryland",Industrials,Aerospace & Defense
Eli Lilly & Co.,0.385,LLY,"Indianapolis, Indiana",Health Care,Pharmaceuticals
3M Co.,0.383,MMM,"Saint Paul, Minnesota",Industrials,Industrial Conglomerates
"QUALCOMM, Inc.",0.374,QCOM,"San Diego, California",Information Technology,Semiconductors
Danaher Corp.,0.373,DHR,"Washington, D.C.",Health Care,Life Sciences Tools & Services
"Lowe’s Cos., Inc.",0.344,LOW,"Mooresville, North Carolina",Consumer Discretionary,Home Improvement Retail
"United Parcel Service, Inc. Class B",0.339,UPS,"Sandy Springs, Georgia",Industrials,Air Freight & Logistics
"Booking Holdings, Inc.",0.338,BKNG,"Norwalk, Connecticut",Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Bristol-Myers Squibb Co.,0.335,BMY,"New York City, New York",Health Care,Pharmaceuticals
CVS Health Corp.,0.332,CVS,"Woonsocket, Rhode Island",Health Care,Health Care Services
"Fidelity National Information Services, Inc.",0.33,FIS,"Jacksonville, Florida",Financials,Transaction & Payment Processing Services
American Express Co.,0.327,AXP,"New York City, New York",Financials,Consumer Finance
"Gilead Sciences, Inc.",0.325,GILD,"Foster City, California",Health Care,Biotechnology
"Mondelez International, Inc. Class A",0.323,MDLZ,"Chicago, Illinois",Consumer Staples,Packaged Foods & Meats
US Bancorp,0.321,USB,"Minneapolis, Minnesota",Financials,Diversified Banks
General Electric Co.,0.315,GE,"Evendale, Ohio",Industrials,Aerospace & Defense
"Altria Group, Inc.",0.309,MO,"Richmond, Virginia",Consumer Staples,Tobacco
"CME Group, Inc.",0.305,CME,"Chicago, Illinois",Financials,Financial Exchanges & Data
"Chubb, Ltd.",0.298,CB,"Zurich, Switzerland",Financials,Property & Casualty Insurance
"Caterpillar, Inc.",0.288,CAT,"Irving, Texas",Industrials,Construction Machinery & Heavy Transportation Equipment
Celgene Corp.,0.285,CELG,"Summit, NJ",Health Care,Biotechnology
"Automatic Data Processing, Inc.",0.284,ADP,"Roseland, New Jersey",Industrials,Human Resource & Employment Services
Duke Energy Corp.,0.282,DUK,"Charlotte, North Carolina",Utilities,Electric Utilities
Stryker Corp.,0.281,SYK,"Kalamazoo, Michigan",Health Care,Health Care Equipment
"Intuit, Inc.",0.28,INTU,"Mountain View, California",Information Technology,Application Software
Becton Dickinson and Co.,0.275,BDX,"Franklin Lakes, New Jersey",Health Care,Health Care Equipment
"TJX Cos., Inc.",0.273,TJX,"Framingham, Massachusetts",Consumer Discretionary,Apparel Retail
"Goldman Sachs Group, Inc.",0.271,GS,"New York City, New York",Financials,Investment Banking & Brokerage
"Charter Communications, Inc. Class A",0.27,CHTR,"Stamford, Connecticut",Communication Services,Cable & Satellite
"Dominion Energy, Inc.",0.27,D,"Richmond, Virginia",Utilities,Multi-Utilities
Southern Co.,0.261,SO,"Atlanta, Georgia",Utilities,Electric Utilities
ConocoPhillips,0.256,COP,"Houston, Texas",Energy,Oil & Gas Exploration & Production
Colgate-Palmolive Co.,0.255,CL,"New York City, New York",Consumer Staples,Household Products
"PNC Financial Services Group, Inc.",0.253,PNC,"Pittsburgh, Pennsylvania",Financials,Diversified Banks
"Intuitive Surgical, Inc.",0.251,ISRG,"Sunnyvale, California",Health Care,Health Care Equipment
"Anthem, Inc.",0.249,ANTM,"Indianapolis, IN",Health Care,Managed Health Care
"S&P Global, Inc.",0.243,SPGI,"New York City, New York",Financials,Financial Exchanges & Data
"Zoetis, Inc.",0.24,ZTS,"Parsippany, New Jersey",Health Care,Pharmaceuticals
Northrop Grumman Corp.,0.239,NOC,"West Falls Church, Virginia[3]",Industrials,Aerospace & Defense
"Fiserv, Inc.",0.238,FI,"Milwaukee, WI",Financials,Transaction & Payment Processing Services
Crown Castle International Corp. REIT,0.233,CCI,"Houston, Texas",Real Estate,Telecom Tower REITs
Cigna Corp.,0.232,CI,"Bloomfield, Connecticut",Health Care,Health Care Services
Boston Scientific Corp.,0.228,BSX,"Marlborough, Massachusetts",Health Care,Health Care Equipment
CSX Corp.,0.224,CSX,"Jacksonville, Florida",Industrials,Rail Transportation
Allergan PLC,0.223,AGN,"Dublin, Ireland",Health Care,Pharmaceuticals
Target Corp.,0.222,TGT,"Minneapolis, Minnesota",Consumer Staples,Consumer Staples Merchandise Retail
Raytheon Co.,0.22,RTN,"Waltham, MA",Industrials,Aerospace & Defense
Morgan Stanley,0.217,MS,"New York City, New York",Financials,Investment Banking & Brokerage
"Prologis, Inc. REIT",0.217,PLD,"San Francisco, California",Real Estate,Industrial REITs
"DuPont de Nemours, Inc.",0.216,DD,"Wilmington, Delaware",Materials,Specialty Chemicals
Deere & Co.,0.216,DE,"Moline, Illinois",Industrials,Agricultural & Farm Machinery
"BlackRock, Inc.",0.212,BLK,"New York City, New York",Financials,Asset Management & Custody Banks
"Intercontinental Exchange, Inc.",0.21,ICE,"Atlanta, Georgia",Financials,Financial Exchanges & Data
"Marsh & McLennan Cos., Inc.",0.206,MMC,"New York, NY",Financial Services,Insurance Brokers
"Ecolab, Inc.",0.201,ECL,"Saint Paul, Minnesota",Materials,Specialty Chemicals
"Equinix, Inc. REIT",0.198,EQIX,"Redwood City, California",Real Estate,Data Center REITs
Kimberly-Clark Corp.,0.198,KMB,"Irving, Texas",Consumer Staples,Household Products
Charles Schwab Corp.,0.197,SCHW,"Westlake, Texas",Financials,Investment Banking & Brokerage
"Air Products & Chemicals, Inc.",0.197,APD,"Upper Macungie Township, Pennsylvania",Materials,Industrial Gases
"American International Group, Inc.",0.196,AIG,"New York City, New York",Financials,Multi-line Insurance
"Simon Property Group, Inc. REIT",0.194,SPG,"Indianapolis, Indiana",Real Estate,Retail REITs
