Company,Weight,Ticker,Headquarters,GICS Sector,GICS Sub-Industry
General Electric Co,4.525,GE,"Evendale, Ohio",Industrials,Aerospace & Defense
"Cisco Systems, Inc",3.105,CSCO,"San Jose, California",Information Technology,Communications Equipment
Microsoft Corp,2.514,MSFT,"Redmond, Washington",Information Technology,Systems Software
Exxon Mobil Corp,2.459,XOM,"Irving, Texas",Energy,Integrated Oil & Gas
"Pfizer, Inc",2.245,PFE,"New York City, New York",Health Care,Pharmaceuticals
Intel Corp,2.21,INTC,"Santa Clara, California",Information Technology,Semiconductors
"Citigroup, Inc",1.926,C,"New York City, New York",Financials,Diversified Banks
Oracle Corp,1.756,ORCL,"Austin, Texas",Information Technology,Application Software
"American International Group, Inc",1.756,AIG,"New York City, New York",Financials,Multi-line Insurance
EMC Corp,1.708,EMC,"Hopkinton, MA",Information Technology,"Technology Hardware, Storage & Peripherals"
"Wal-Mart Stores, Inc",1.702,WMT,"Bentonville, Arkansas",Consumer Staples,Consumer Staples Merchandise Retail
International Business Machines Corp,1.569,IBM,"Armonk, New York",Information Technology,IT Consulting & Other Services
"Sun Microsystems, Inc",1.467,JAVA,"Santa Clara, CA",Information Technology,Systems Software
Nortel Networks Corp,1.409,NT,"Mississauga, Canada",Information Technology,Communications Equipment
"Merck & Co, Inc",1.358,MRK,"Kenilworth, New Jersey",Health Care,Pharmaceuticals
"SBC Communications, Inc",1.342,SBC,"Irvine, CA",Industrials,Consulting Services
Coca-Cola Co,1.083,KO,"Atlanta, Georgia",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Verizon Communications,1.045,VZ,"New York City, New York",Communication Services,Integrated Telecommunication Services
Johnson & Johnson,1.037,JNJ,"New Brunswick, New Jersey",Health Care,Pharmaceuticals
Royal Dutch Petroleum Co,1.02,RD,"The Hague, Netherlands",Energy,Integrated Oil & Gas
"America Online, Inc",0.98,AOL,"New York, NY",Communication Services,Interactive Media & Services
"Home Depot, Inc (The)",0.974,HD,"Atlanta, Georgia",Consumer Discretionary,Home Improvement Retail
Bristol-Myers Squibb Co,0.889,BMY,"New York City, New York",Health Care,Pharmaceuticals
AT&T Corp,0.875,T,"Dallas, Texas",Communication Services,Integrated Telecommunication Services
"Time Warner, Inc",0.817,TWX,"New York, NY",Communication Services,Movies & Entertainment
"Morgan Stanley, Dean Witter, Discover and Co",0.815,MS,"New York City, New York",Financials,Investment Banking & Brokerage
"Lucent Technologies, Inc",0.808,LU,"Shanghai, China",Financial Services,Credit Services
Hewlett-Packard Co,0.766,HPQ,"Palo Alto, California",Information Technology,"Technology Hardware, Storage & Peripherals"
Lilly (Eli) & Co,0.727,LLY,"Indianapolis, Indiana",Health Care,Pharmaceuticals
"Viacom, Inc",0.703,VIAB,"New York, NY",Communication Services,Movies & Entertainment
JDS Uniphase Corp,0.7,JDSU,"Milpitas, CA",Information Technology,Communications Equipment
Procter & Gamble Co,0.695,PG,"Cincinnati, Ohio",Consumer Staples,Personal Care Products
"Corning, Inc",0.693,GLW,"Corning, New York",Information Technology,Electronic Components
"Tyco Laboratories, Inc",0.692,TYC,"Schaffhausen, Switzerland",Industrials,Industrial Conglomerates
"WorldCom, Inc",0.69,WCOM,"Clinton, MS",Communication Services,Alternative Carriers
Bank of America Corp,0.681,BAC,"Charlotte, North Carolina",Financials,Diversified Banks
"Texas Instruments, Inc",0.646,TXN,"Dallas, Texas",Information Technology,Semiconductors
American Express Co,0.641,AXP,"New York City, New York",Financials,Consumer Finance
"Qwest Communications Intl, Inc",0.632,Q,"Wilmington, Delaware",Information Technology,Semiconductor Materials & Equipment
Disney (Walt) Co (The),0.631,DIS,"Burbank, California",Communication Services,Movies & Entertainment
Dell Computer Corp,0.63,DELL,"Round Rock, Texas",Information Technology,"Technology Hardware, Storage & Peripherals"
Pharmacia Corp,0.619,PHA,"Peapack, NJ",Health Care,Pharmaceuticals
Wells Fargo & Co,0.599,WFC,"San Francisco, California",Financials,Diversified Banks
BellSouth Corp,0.597,BLS,"Atlanta, GA",Communication Services,Integrated Telecommunication Services
American Home  Products Corp,0.585,AHP,"Madison, NJ",Health Care,Pharmaceuticals
Abbott Lab,0.585,ABT,"North Chicago, Illinois",Health Care,Health Care Equipment
Fannie Mae,0.572,FNMA,"Washington, DC",Financial Services,Mortgage Finance
"Amgen, Inc",0.569,AMGN,"Thousand Oaks, California",Health Care,Biotechnology
Schering-Plough Corp,0.54,SGP,"Kenilworth, NJ",Health Care,Pharmaceuticals
"PepsiCo, Inc",0.526,PEP,"Purchase, New York",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"Philip Morris Cos, Inc",0.525,PM,"New York City, New York",Consumer Staples,Tobacco
Enron Corp,0.51,ENE,"Houston, TX",Energy,Oil & Gas Storage & Transportation
"Medtronic, Inc",0.492,MDT,"Dublin, Ireland",Health Care,Health Care Equipment
"Motorola, Inc",0.483,MSI,"Chicago, Illinois",Information Technology,Communications Equipment
Chase Manhattan Corp,0.478,CMB,"New York, NY",Financials,Regional Banks
VERITAS Software Corp,0.452,VRTS,"Hartford, CT",Financial Services,Asset Management
Boeing Co,0.448,BA,"Arlington, Virginia",Industrials,Aerospace & Defense
Chevron Corp,0.441,CVX,"Houston, Texas",Energy,Integrated Oil & Gas
"Broadcom Corp, Class A",0.428,BRCM,"Irvine, CA",Information Technology,Semiconductors
"Merrill Lynch & Co, Inc",0.42,MER,"New York, NY",Financials,Investment Banking & Brokerage
"QUALCOMM, Inc",0.419,QCOM,"San Diego, California",Information Technology,Semiconductors
"Yahoo, Inc",0.393,YHOO,"Sunnyvale, CA",Communication Services,Interactive Media & Services
Schwab (Charles) Corp,0.384,SCHW,"Westlake, Texas",Financials,Investment Banking & Brokerage
"Applied Materials, Inc",0.38,AMAT,"Santa Clara, California",Information Technology,Semiconductor Materials & Equipment
Ford Motor Co,0.377,F,"Dearborn, Michigan",Consumer Discretionary,Automobile Manufacturers
Schlumberger Ltd,0.372,SLB,"Houston, Texas",Energy,Oil & Gas Equipment & Services
Compaq Computer Corp,0.372,CPQ,"Houston, TX",Information Technology,"Technology Hardware, Storage & Peripherals"
"Siebel Systems, Inc",0.367,SEBL,"San Mateo, CA",Information Technology,Application Software
Banc One Corp,0.352,ONE,"Chicago, IL",Financials,Regional Banks
"Du Pont (EI) de Nemours& Co, Inc",0.344,DD,"Wilmington, Delaware",Materials,Specialty Chemicals
"Automatic Data Processing, Inc",0.333,ADP,"Roseland, New Jersey",Industrials,Human Resource & Employment Services
"Bank of New York, Inc",0.328,BK,"New York City, New York",Financials,Asset Management & Custody Banks
McDonald's Corp,0.316,MCD,"Chicago, Illinois",Consumer Discretionary,Restaurants
"Network Appliance, Inc",0.309,NTAP,"San Jose, California",Information Technology,"Technology Hardware, Storage & Peripherals"
"Anheuser-Busch Cos, Inc",0.303,BUD,"Leuven, Belgium",Consumer Defensive,Beverages - Brewers
Walgreen Co,0.303,WBA,"Deerfield, IL",Consumer Staples,Drug Retail
Freddie Mac,0.299,FMCC,"McLean, VA",Financial Services,Mortgage Finance
"Comcast Corp, Class A",0.293,CMCSA,"Philadelphia, Pennsylvania",Communication Services,Cable & Satellite
Minnesota Mining &Manufacturing Co,0.286,MMM,"Saint Paul, Minnesota",Industrials,Industrial Conglomerates
"Marsh & McLennan Cos, Inc",0.285,MMC,"New York, NY",Financial Services,Insurance Brokers
"Nextel Communications, Inc, Class A",0.281,NXTL,"Reston, VA",Communication Services,Wireless Telecommunication Services
Fleet Boston Financial Corp,0.279,FBF,"Boston, MA",Financials,Regional Banks
General Motors Corp,0.276,GM,"Detroit, Michigan",Consumer Discretionary,Automobile Manufacturers
"Clear Channel Communications, Inc",0.262,CCU,"Santiago, Chile",Consumer Defensive,Beverages - Brewers
MBNA Corp,0.261,KRB,"Charlotte, NC",Financials,Regional Banks
United Technologies Corp,0.259,UTX,"Farmington, CT",Industrials,Aerospace & Defense
Gillette Co,0.257,G,"Hamilton, Bermuda",Technology,Information Technology Services
Sprint Corp (PCS Group),0.255,PCS,"Richardson, TX",Communication Services,Wireless Telecommunication Services
First Union Corp,0.251,FTU,"Charlotte, NC",Financials,Regional Banks
Duke Energy Corp,0.251,DUK,"Charlotte, North Carolina",Utilities,Electric Utilities
AES Corp,0.248,AES,"Arlington, Virginia",Utilities,Independent Power Producers & Energy Traders
Kimberly-Clark Corp,0.238,KMB,"Irving, Texas",Consumer Staples,Household Products
"Palm, Inc",0.236,PALM,"Sunnyvale, CA",Information Technology,Technology Hardware
"Analog Devices, Inc",0.232,ADI,"Wilmington, Massachusetts",Information Technology,Semiconductors
"Texaco, Inc",0.23,TX,"Luxembourg City, Luxembourg",Basic Materials,Steel
Emerson Electric Co,0.227,EMR,"Ferguson, Missouri",Industrials,Electrical Components & Equipment
"Honeywell International, Inc",0.226,HON,"Charlotte, North Carolina",Industrials,Industrial Conglomerates
"Associates First Capital Corp, Class A",0.22,AFS,"Dallas, TX",Financials,Consumer Finance
"Xilinx, Inc",0.219,XLNX,"San Jose, CA",Information Technology,Semiconductors
"Unilever NV, (NY Shares)",0.219,UL,"London, United Kingdom",Consumer Defensive,Household & Personal Products
Solectron Corp,0.219,SLR,"Milpitas, CA",Information Technology,Electronic Manufacturing Services
Global Crossing Ltd,0.217,GLBC,"Hamilton, Bermuda",Communication Services,Alternative Carriers
