Company,Weight,Ticker,Headquarters,GICS Sector,GICS Sub-Industry
"Apple, Inc.",3.252,AAPL,"Cupertino, California",Information Technology,"Technology Hardware, Storage & Peripherals"
Microsoft Corp.,2.397,MSFT,"Redmond, Washington",Information Technology,Systems Software
Exxon Mobil Corp.,1.924,XOM,"Irving, Texas",Energy,Integrated Oil & Gas
"Amazon.com, Inc.",1.761,AMZN,"Seattle, Washington",Consumer Discretionary,Broadline Retail
Johnson & Johnson,1.728,JNJ,"New Brunswick, New Jersey",Health Care,Pharmaceuticals
"Facebook, Inc. Class A",1.592,META,"Menlo Park, California",Communication Services,Interactive Media & Services
"Berkshire Hathaway, Inc.Class B",1.466,BRK.B,"Omaha, Nebraska",Financials,Multi-Sector Holdings
General Electric Co.,1.417,GE,"Evendale, Ohio",Industrials,Aerospace & Defense
"AT&T, Inc.",1.329,T,"Dallas, Texas",Communication Services,Integrated Telecommunication Services
JPMorgan Chase & Co.,1.285,JPM,"New York City, New York",Financials,Diversified Banks
Procter & Gamble Co.,1.28,PG,"Cincinnati, Ohio",Consumer Staples,Personal Care Products
"Alphabet, Inc. Class A",1.267,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
"Alphabet, Inc. Class C",1.221,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
"Verizon Communications, Inc.",1.127,VZ,"New York City, New York",Communication Services,Integrated Telecommunication Services
"Pfizer, Inc.",1.092,PFE,"New York City, New York",Health Care,Pharmaceuticals
Wells Fargo & Co.,1.074,WFC,"San Francisco, California",Financials,Diversified Banks
Chevron Corp.,1.031,CVX,"Houston, Texas",Energy,Integrated Oil & Gas
Intel Corp.,0.948,INTC,"Santa Clara, California",Information Technology,Semiconductors
"Merck & Co., Inc.",0.919,MRK,"Kenilworth, New Jersey",Health Care,Pharmaceuticals
Coca-Cola Co.,0.876,KO,"Atlanta, Georgia",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Bank of America Corp.,0.856,BAC,"Charlotte, North Carolina",Financials,Diversified Banks
Comcast Corp. Class A,0.853,CMCSA,"Philadelphia, Pennsylvania",Communication Services,Cable & Satellite
"Home Depot, Inc.",0.851,HD,"Atlanta, Georgia",Consumer Discretionary,Home Improvement Retail
"Cisco Systems, Inc.",0.848,CSCO,"San Jose, California",Information Technology,Communications Equipment
"Visa, Inc. Class A",0.837,V,"San Francisco, California",Financials,Transaction & Payment Processing Services
"PepsiCo, Inc.",0.835,PEP,"Purchase, New York",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"Philip Morris International, Inc.",0.802,PM,"New York City, New York",Consumer Staples,Tobacco
Walt Disney Co.,0.738,DIS,"Burbank, California",Communication Services,Movies & Entertainment
International Business Machines Corp.,0.738,IBM,"Armonk, New York",Information Technology,IT Consulting & Other Services
"Citigroup, Inc.",0.738,C,"New York City, New York",Financials,Diversified Banks
"UnitedHealth Group, Inc.",0.708,UNH,"Eden Prairie, Minnesota",Health Care,Managed Health Care
"Amgen, Inc.",0.666,AMGN,"Thousand Oaks, California",Health Care,Biotechnology
"Altria Group, Inc.",0.658,MO,"Richmond, Virginia",Consumer Staples,Tobacco
Medtronic PLC,0.637,MDT,"Dublin, Ireland",Health Care,Health Care Equipment
Oracle Corp.,0.632,ORCL,"Austin, Texas",Information Technology,Application Software
"Wal-Mart Stores, Inc.",0.585,WMT,"Bentonville, Arkansas",Consumer Staples,Consumer Staples Merchandise Retail
"Schlumberger, Ltd.",0.581,SLB,"Houston, Texas",Energy,Oil & Gas Equipment & Services
3M Co.,0.568,MMM,"Saint Paul, Minnesota",Industrials,Industrial Conglomerates
"Gilead Sciences, Inc.",0.56,GILD,"Foster City, California",Health Care,Biotechnology
"AbbVie, Inc.",0.543,ABBV,"North Chicago, Illinois",Health Care,Biotechnology
"QUALCOMM, Inc.",0.535,QCOM,"San Diego, California",Information Technology,Semiconductors
McDonald’s Corp.,0.526,MCD,"Chicago, Illinois",Consumer Discretionary,Restaurants
"MasterCard, Inc. Class A",0.522,MA,"Harrison, New York",Financials,Transaction & Payment Processing Services
CVS Health Corp.,0.508,CVS,"Woonsocket, Rhode Island",Health Care,Health Care Services
Allergan PLC,0.485,AGN,"Dublin, Ireland",Health Care,Pharmaceuticals
Bristol-Myers Squibb Co.,0.479,BMY,"New York City, New York",Health Care,Pharmaceuticals
"Honeywell International, Inc.",0.472,HON,"Charlotte, North Carolina",Industrials,Industrial Conglomerates
Union Pacific Corp.,0.437,UNP,"Omaha, Nebraska",Industrials,Rail Transportation
Celgene Corp.,0.431,CELG,"Summit, NJ",Health Care,Biotechnology
Starbucks Corp.,0.422,SBUX,"Seattle, Washington",Consumer Discretionary,Restaurants
United Technologies Corp.,0.42,UTX,"Farmington, CT",Industrials,Aerospace & Defense
Eli Lilly & Co.,0.415,LLY,"Indianapolis, Indiana",Health Care,Pharmaceuticals
Boeing Co.,0.409,BA,"Arlington, Virginia",Industrials,Aerospace & Defense
Accenture PLC Class A,0.406,ACN,"Dublin, Ireland",Information Technology,IT Consulting & Other Services
"United Parcel Service, Inc.Class B",0.401,UPS,"Sandy Springs, Georgia",Industrials,Air Freight & Logistics
"Priceline Group, Inc.",0.389,BKNG,"Norwalk, Connecticut",Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
"Texas Instruments, Inc.",0.375,TXN,"Dallas, Texas",Information Technology,Semiconductors
