Company,Weight,Ticker,Headquarters,GICS Sector,GICS Sub-Industry
"Apple, Inc.",4.211,AAPL,"Cupertino, California",Information Technology,"Technology Hardware, Storage & Peripherals"
Microsoft Corp.,3.567,MSFT,"Redmond, Washington",Information Technology,Systems Software
"Amazon.com, Inc.",3.339,AMZN,"Seattle, Washington",Consumer Discretionary,Broadline Retail
"Berkshire Hathaway, Inc. Class B",1.698,BRK.B,"Omaha, Nebraska",Financials,Multi-Sector Holdings
"Facebook, Inc. Class A",1.613,META,"Menlo Park, California",Communication Services,Interactive Media & Services
JPMorgan Chase & Co.,1.542,JPM,"New York City, New York",Financials,Diversified Banks
Johnson & Johnson,1.508,JNJ,"New Brunswick, New Jersey",Health Care,Pharmaceuticals
"Alphabet, Inc. Class C",1.495,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
"Alphabet, Inc. Class A",1.468,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
Exxon Mobil Corp.,1.464,XOM,"Irving, Texas",Energy,Integrated Oil & Gas
Bank of America Corp.,1.113,BAC,"Charlotte, North Carolina",Financials,Diversified Banks
"Visa, Inc. Class A",1.085,V,"San Francisco, California",Financials,Transaction & Payment Processing Services
"Pfizer, Inc.",1.051,PFE,"New York City, New York",Health Care,Pharmaceuticals
"UnitedHealth Group, Inc.",1.042,UNH,"Eden Prairie, Minnesota",Health Care,Managed Health Care
"AT&T, Inc.",0.992,T,"Dallas, Texas",Communication Services,Integrated Telecommunication Services
"Home Depot, Inc.",0.964,HD,"Atlanta, Georgia",Consumer Discretionary,Home Improvement Retail
Chevron Corp.,0.953,CVX,"Houston, Texas",Energy,Integrated Oil & Gas
Wells Fargo & Co.,0.927,WFC,"San Francisco, California",Financials,Diversified Banks
"Cisco Systems, Inc.",0.904,CSCO,"San Jose, California",Information Technology,Communications Equipment
"Verizon Communications, Inc.",0.897,VZ,"New York City, New York",Communication Services,Integrated Telecommunication Services
Intel Corp.,0.887,INTC,"Santa Clara, California",Information Technology,Semiconductors
Procter & Gamble Co.,0.843,PG,"Cincinnati, Ohio",Consumer Staples,Personal Care Products
"Mastercard, Inc. Class A",0.826,MA,"Harrison, New York",Financials,Transaction & Payment Processing Services
Boeing Co.,0.808,BA,"Arlington, Virginia",Industrials,Aerospace & Defense
"Merck & Co., Inc.",0.767,MRK,"Kenilworth, New Jersey",Health Care,Pharmaceuticals
"Citigroup, Inc.",0.734,C,"New York City, New York",Financials,Diversified Banks
Coca-Cola Co.,0.719,KO,"Atlanta, Georgia",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Walt Disney Co.,0.707,DIS,"Burbank, California",Communication Services,Movies & Entertainment
NVIDIA Corp.,0.695,NVDA,"Santa Clara, California",Information Technology,Semiconductors
"Netflix, Inc.",0.663,NFLX,"Los Gatos, California",Communication Services,Movies & Entertainment
Comcast Corp. Class A,0.658,CMCSA,"Philadelphia, Pennsylvania",Communication Services,Cable & Satellite
"PepsiCo, Inc.",0.643,PEP,"Purchase, New York",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"DowDuPont, Inc.",0.604,DWDP,"Wilmington, DE",Materials,Diversified Chemicals
Oracle Corp.,0.593,ORCL,"Austin, Texas",Information Technology,Application Software
"AbbVie, Inc.",0.583,ABBV,"North Chicago, Illinois",Health Care,Biotechnology
International Business Machines Corp.,0.562,IBM,"Armonk, New York",Information Technology,IT Consulting & Other Services
"Walmart, Inc.",0.549,WMT,"Bentonville, Arkansas",Consumer Staples,Consumer Staples Merchandise Retail
"Amgen, Inc.",0.546,AMGN,"Thousand Oaks, California",Health Care,Biotechnology
Medtronic PLC,0.54,MDT,"Dublin, Ireland",Health Care,Health Care Equipment
"Adobe Systems, Inc.",0.538,ADBE,"San Jose, California",Information Technology,Application Software
McDonald’s Corp.,0.528,MCD,"Chicago, Illinois",Consumer Discretionary,Restaurants
Abbott Laboratories,0.524,ABT,"North Chicago, Illinois",Health Care,Health Care Equipment
"Philip Morris International, Inc.",0.516,PM,"New York City, New York",Consumer Staples,Tobacco
"Honeywell International, Inc.",0.504,HON,"Charlotte, North Carolina",Industrials,Industrial Conglomerates
3M Co.,0.503,MMM,"Saint Paul, Minnesota",Industrials,Industrial Conglomerates
"salesforce.com, Inc.",0.49,CRM,"San Francisco, California",Information Technology,Application Software
Union Pacific Corp.,0.49,UNP,"Omaha, Nebraska",Industrials,Rail Transportation
"Altria Group, Inc.",0.462,MO,"Richmond, Virginia",Consumer Staples,Tobacco
Accenture PLC Class A,0.443,ACN,"Dublin, Ireland",Information Technology,IT Consulting & Other Services
"NIKE, Inc. Class B",0.441,NKE,"Washington County, Oregon",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
"Broadcom, Inc.",0.434,AVGO,"Palo Alto, California",Information Technology,Semiconductors
United Technologies Corp.,0.428,UTX,"Farmington, CT",Industrials,Aerospace & Defense
