Company,Weight,Ticker,Headquarters,GICS Sector,GICS Sub-Industry
"Apple, Inc.",2.897,AAPL,"Cupertino, California",Information Technology,"Technology Hardware, Storage & Peripherals"
Exxon Mobil Corp.,2.532,XOM,"Irving, Texas",Energy,Integrated Oil & Gas
Microsoft Corp.,1.688,MSFT,"Redmond, Washington",Information Technology,Systems Software
"Google, Inc. (Class A)",1.638,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
Johnson & Johnson,1.633,JNJ,"New Brunswick, New Jersey",Health Care,Pharmaceuticals
General Electric Co.,1.627,GE,"Evendale, Ohio",Industrials,Aerospace & Defense
Chevron Corp.,1.57,CVX,"Houston, Texas",Energy,Integrated Oil & Gas
The Procter & Gamble Co.,1.384,PG,"Cincinnati, Ohio",Consumer Staples,Personal Care Products
"Berkshire Hathaway, Inc.(Class B)",1.366,BRK.B,"Omaha, Nebraska",Financials,Multi-Sector Holdings
Wells Fargo & Co.,1.335,WFC,"San Francisco, California",Financials,Diversified Banks
JPMorgan Chase & Co.,1.301,JPM,"New York City, New York",Financials,Diversified Banks
International Business Machines Corp.,1.275,IBM,"Armonk, New York",Information Technology,IT Consulting & Other Services
"Pfizer, Inc.",1.271,PFE,"New York City, New York",Health Care,Pharmaceuticals
"AT&T, Inc.",1.201,T,"Dallas, Texas",Communication Services,Integrated Telecommunication Services
Bank of America Corp.,0.991,BAC,"Charlotte, North Carolina",Financials,Diversified Banks
"Citigroup, Inc.",0.985,C,"New York City, New York",Financials,Diversified Banks
The Coca-Cola Co.,0.966,KO,"Atlanta, Georgia",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"Philip Morris International, Inc.",0.937,PM,"New York City, New York",Consumer Staples,Tobacco
"Merck & Co., Inc.",0.932,MRK,"Kenilworth, New Jersey",Health Care,Pharmaceuticals
"Verizon Communications, Inc.",0.893,VZ,"New York City, New York",Communication Services,Integrated Telecommunication Services
"Cisco Systems, Inc.",0.84,CSCO,"San Jose, California",Information Technology,Communications Equipment
"PepsiCo, Inc.",0.82,PEP,"Purchase, New York",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"Wal-Mart Stores, Inc.",0.805,WMT,"Bentonville, Arkansas",Consumer Staples,Consumer Staples Merchandise Retail
Oracle Corp.,0.791,ORCL,"Austin, Texas",Information Technology,Application Software
Comcast Corp. (Class A),0.79,CMCSA,"Philadelphia, Pennsylvania",Communication Services,Cable & Satellite
"Schlumberger, Ltd.",0.782,SLB,"Houston, Texas",Energy,Oil & Gas Equipment & Services
"Amazon.com, Inc.",0.773,AMZN,"Seattle, Washington",Consumer Discretionary,Broadline Retail
"QUALCOMM, Inc.",0.773,QCOM,"San Diego, California",Information Technology,Semiconductors
Intel Corp.,0.763,INTC,"Santa Clara, California",Information Technology,Semiconductors
"The Home Depot, Inc.",0.727,HD,"Atlanta, Georgia",Consumer Discretionary,Home Improvement Retail
The Walt Disney Co.,0.717,DIS,"Burbank, California",Communication Services,Movies & Entertainment
"Visa, Inc. (Class A)",0.659,V,"San Francisco, California",Financials,Transaction & Payment Processing Services
McDonald’s Corp.,0.644,MCD,"Chicago, Illinois",Consumer Discretionary,Restaurants
"Gilead Sciences, Inc.",0.643,GILD,"Foster City, California",Health Care,Biotechnology
United Technologies Corp.,0.608,UTX,"Farmington, CT",Industrials,Aerospace & Defense
ConocoPhillips,0.567,COP,"Houston, Texas",Energy,Oil & Gas Exploration & Production
"Amgen, Inc.",0.564,AMGN,"Thousand Oaks, California",Health Care,Biotechnology
The Boeing Co.,0.545,BA,"Arlington, Virginia",Industrials,Aerospace & Defense
