Company,Weight,Ticker,Headquarters,GICS Sector,GICS Sub-Industry
Exxon Mobil Corp,3.532,XOM,"Irving, Texas",Energy,Integrated Oil & Gas
Microsoft Corp,2.15,MSFT,"Redmond, Washington",Information Technology,Systems Software
General Electric Co,1.869,GE,"Evendale, Ohio",Industrials,Aerospace & Defense
JPMorgan Chase & Co,1.846,JPM,"New York City, New York",Financials,Diversified Banks
Procter & Gamble Co,1.811,PG,"Cincinnati, Ohio",Consumer Staples,Personal Care Products
Johnson & Johnson,1.797,JNJ,"New Brunswick, New Jersey",Health Care,Pharmaceuticals
"Apple, Inc ",1.779,AAPL,"Cupertino, California",Information Technology,"Technology Hardware, Storage & Peripherals"
"AT&T, Inc",1.707,T,"Dallas, Texas",Communication Services,Integrated Telecommunication Services
International Business Machines Corp,1.679,IBM,"Armonk, New York",Information Technology,IT Consulting & Other Services
Bank of America Corp,1.568,BAC,"Charlotte, North Carolina",Financials,Diversified Banks
Chevron Corp,1.513,CVX,"Houston, Texas",Energy,Integrated Oil & Gas
"Cisco Systems, Inc ",1.454,CSCO,"San Jose, California",Information Technology,Communications Equipment
Wells Fargo & Co,1.41,WFC,"San Francisco, California",Financials,Diversified Banks
Coca-Cola Co,1.333,KO,"Atlanta, Georgia",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"Google, Inc (Class A) ",1.278,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
Hewlett-Packard Co,1.199,HPQ,"Palo Alto, California",Information Technology,"Technology Hardware, Storage & Peripherals"
"Pfizer, Inc",1.196,PFE,"New York City, New York",Health Care,Pharmaceuticals
Intel Corp,1.173,INTC,"Santa Clara, California",Information Technology,Semiconductors
"Wal-Mart Stores, Inc",1.136,WMT,"Bentonville, Arkansas",Consumer Staples,Consumer Staples Merchandise Retail
"Philip Morris International, Inc",1.01,PM,"New York City, New York",Consumer Staples,Tobacco
"Goldman Sachs Group, Inc",1.009,GS,"New York City, New York",Financials,Investment Banking & Brokerage
"PepsiCo, Inc",0.979,PEP,"Purchase, New York",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"Verizon Communications, Inc",0.921,VZ,"New York City, New York",Communication Services,Integrated Telecommunication Services
Oracle Corp,0.872,ORCL,"Austin, Texas",Information Technology,Application Software
Abbott Laboratories,0.819,ABT,"North Chicago, Illinois",Health Care,Health Care Equipment
"QUALCOMM, Inc",0.801,QCOM,"San Diego, California",Information Technology,Semiconductors
"Schlumberger, Ltd",0.765,SLB,"Houston, Texas",Energy,Oil & Gas Equipment & Services
ConocoPhillips,0.717,COP,"Houston, Texas",Energy,Oil & Gas Exploration & Production
"Merck & Co, Inc",0.714,MRK,"Kenilworth, New Jersey",Health Care,Pharmaceuticals
Wyeth,0.695,WYE,"Madison, NJ",Health Care,Pharmaceuticals
Occidental Petroleum Corp,0.681,OXY,"Houston, Texas",Energy,Oil & Gas Exploration & Production
"Citigroup, Inc",0.676,C,"New York City, New York",Financials,Diversified Banks
McDonald's Corp,0.667,MCD,"Chicago, Illinois",Consumer Discretionary,Restaurants
"Amgen, Inc ",0.655,AMGN,"Thousand Oaks, California",Health Care,Biotechnology
United Technologies Corp,0.614,UTX,"Farmington, CT",Industrials,Aerospace & Defense
"United Parcel Service, Inc (Class B)",0.602,UPS,"Sandy Springs, Georgia",Industrials,Air Freight & Logistics
CVS Caremark Corp,0.552,CVS,"Woonsocket, Rhode Island",Health Care,Health Care Services
3M Co,0.552,MMM,"Saint Paul, Minnesota",Industrials,Industrial Conglomerates
The Walt Disney Co,0.547,DIS,"Burbank, California",Communication Services,Movies & Entertainment
Comcast Corp (Class A),0.519,CMCSA,"Philadelphia, Pennsylvania",Communication Services,Cable & Satellite
Schering-Plough Corp,0.494,SGP,"Kenilworth, NJ",Health Care,Pharmaceuticals
"Home Depot, Inc",0.486,HD,"Atlanta, Georgia",Consumer Discretionary,Home Improvement Retail
Bristol-Myers Squibb Co,0.478,BMY,"New York City, New York",Health Care,Pharmaceuticals
Monsanto Co,0.453,MON,"St. Louis, MO",Materials,Fertilizers & Agricultural Chemicals
"Gilead Sciences, Inc ",0.451,GILD,"Foster City, California",Health Care,Biotechnology
Morgan Stanley,0.448,MS,"New York City, New York",Financials,Investment Banking & Brokerage
US Bancorp,0.448,USB,"Minneapolis, Minnesota",Financials,Diversified Banks
"Medtronic, Inc",0.436,MDT,"Dublin, Ireland",Health Care,Health Care Equipment
American Express Co,0.432,AXP,"New York City, New York",Financials,Consumer Finance
Boeing Co,0.421,BA,"Arlington, Virginia",Industrials,Aerospace & Defense
"Kraft Foods, Inc (Class A)",0.415,KRFT,"Northfield, IL",Consumer Staples,Packaged Foods & Meats
Colgate-Palmolive Co,0.407,CL,"New York City, New York",Consumer Staples,Household Products
Walgreen Co,0.398,WBA,"Deerfield, IL",Consumer Staples,Drug Retail
"Altria Group, Inc",0.395,MO,"Richmond, Virginia",Consumer Staples,Tobacco
Target Corp,0.376,TGT,"Minneapolis, Minnesota",Consumer Staples,Consumer Staples Merchandise Retail
Bank of New York Mellon Corp,0.373,BK,"New York City, New York",Financials,Asset Management & Custody Banks
EMC Corp ,0.369,EMC,"Hopkinton, MA",Information Technology,"Technology Hardware, Storage & Peripherals"
"Baxter International, Inc",0.368,BAX,"Deerfield, Illinois",Health Care,Health Care Equipment
"Time Warner, Inc",0.365,TWX,"New York, NY",Communication Services,Movies & Entertainment
Eli Lilly & Co,0.358,LLY,"Indianapolis, Indiana",Health Care,Pharmaceuticals
Exelon Corp,0.35,EXC,"Chicago, Illinois",Utilities,Electric Utilities
"Caterpillar, Inc",0.342,CAT,"Irving, Texas",Industrials,Construction Machinery & Heavy Transportation Equipment
"MetLife, Inc",0.334,MET,"New York City, New York",Financials,Life & Health Insurance
"Amazoncom, Inc ",0.332,AMZN,"Seattle, Washington",Consumer Discretionary,Broadline Retail
"Lowe's Cos, Inc",0.331,LOW,"Mooresville, North Carolina",Consumer Discretionary,Home Improvement Retail
Apache Corp,0.33,APA,"Houston, Texas",Energy,Oil & Gas Exploration & Production
Anadarko Petroleum Corp,0.33,APC,"The Woodlands, TX",Energy,Oil & Gas Exploration & Production
Emerson Electric Co,0.323,EMR,"Ferguson, Missouri",Industrials,Electrical Components & Equipment
"Texas Instruments, Inc",0.32,TXN,"Dallas, Texas",Information Technology,Semiconductors
Devon Energy Corp,0.32,DVN,"Oklahoma City, Oklahoma",Energy,Oil & Gas Exploration & Production
Dow Chemical Co,0.319,DOW,"Midland, Michigan",Materials,Commodity Chemicals
Union Pacific Corp,0.315,UNP,"Omaha, Nebraska",Industrials,Rail Transportation
"UnitedHealth Group, Inc",0.312,UNH,"Eden Prairie, Minnesota",Health Care,Managed Health Care
Du Pont (EI) de Nemours & Co,0.311,DD,"Wilmington, Delaware",Materials,Specialty Chemicals
