Company,Weight,Ticker,Headquarters,GICS Sector,GICS Sub-Industry
"Apple, Inc.",6.681,AAPL,"Cupertino, California",Information Technology,"Technology Hardware, Storage & Peripherals"
Microsoft Corp.,5.712,MSFT,"Redmond, Washington",Information Technology,Systems Software
"Amazon.com, Inc.",4.811,AMZN,"Seattle, Washington",Consumer Discretionary,Broadline Retail
"Facebook, Inc. Class A",2.26,META,"Menlo Park, California",Communication Services,Interactive Media & Services
"Alphabet, Inc. Class A",1.58,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
"Alphabet, Inc. Class C",1.548,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
"Berkshire Hathaway, Inc. Class B",1.515,BRK.B,"Omaha, Nebraska",Financials,Multi-Sector Holdings
Johnson & Johnson,1.407,JNJ,"New Brunswick, New Jersey",Health Care,Pharmaceuticals
Procter & Gamble Co.,1.242,PG,"Cincinnati, Ohio",Consumer Staples,Personal Care Products
"Visa, Inc. Class A",1.21,V,"San Francisco, California",Financials,Transaction & Payment Processing Services
NVIDIA Corp.,1.198,NVDA,"Santa Clara, California",Information Technology,Semiconductors
"Home Depot, Inc.",1.073,HD,"Atlanta, Georgia",Consumer Discretionary,Home Improvement Retail
"Mastercard, Inc. Class A",1.072,MA,"Harrison, New York",Financials,Transaction & Payment Processing Services
"UnitedHealth Group, Inc.",1.064,UNH,"Eden Prairie, Minnesota",Health Care,Managed Health Care
JPMorgan Chase & Co.,1.053,JPM,"New York City, New York",Financials,Diversified Banks
"Verizon Communications, Inc.",0.883,VZ,"New York City, New York",Communication Services,Integrated Telecommunication Services
"Adobe, Inc.",0.844,ADBE,"San Jose, California",Information Technology,Application Software
"PayPal Holdings, Inc.",0.83,PYPL,"San Jose, California",Financials,Transaction & Payment Processing Services
"salesforce.com, Inc.",0.821,CRM,"San Francisco, California",Information Technology,Application Software
Walt Disney Co.,0.805,DIS,"Burbank, California",Communication Services,Movies & Entertainment
"Netflix, Inc.",0.792,NFLX,"Los Gatos, California",Communication Services,Movies & Entertainment
Intel Corp.,0.789,INTC,"Santa Clara, California",Information Technology,Semiconductors
Comcast Corp. Class A,0.757,CMCSA,"Philadelphia, Pennsylvania",Communication Services,Cable & Satellite
"Merck & Co., Inc.",0.753,MRK,"Kenilworth, New Jersey",Health Care,Pharmaceuticals
"Pfizer, Inc.",0.732,PFE,"New York City, New York",Health Care,Pharmaceuticals
"AT&T, Inc.",0.729,T,"Dallas, Texas",Communication Services,Integrated Telecommunication Services
"Walmart, Inc.",0.697,WMT,"Bentonville, Arkansas",Consumer Staples,Consumer Staples Merchandise Retail
Abbott Laboratories,0.692,ABT,"North Chicago, Illinois",Health Care,Health Care Equipment
"PepsiCo, Inc.",0.689,PEP,"Purchase, New York",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
