Company,Weight,Ticker,Headquarters,GICS Sector,GICS Sub-Industry
"Mid-AmericaApartment Communities, Inc. REIT",0.056,MAA,"Memphis, Tennessee",Real Estate,Multi-Family Residential REITs
"Wynn Resorts, Ltd.",0.055,WYNN,"Paradise, Nevada",Consumer Discretionary,Casinos & Gaming
J.M. Smucker Co.,0.055,SJM,"Orrville, Ohio",Consumer Staples,Packaged Foods & Meats
"NetApp, Inc.",0.055,NTAP,"San Jose, California",Information Technology,"Technology Hardware, Storage & Peripherals"
FMC Corp.,0.055,FMC,"Philadelphia, PA",Basic Materials,Agricultural Inputs
Unum Group,0.054,UNM,"Chattanooga, TN",Financial Services,Insurance - Life
"United Rentals, Inc.",0.054,URI,"Stamford, Connecticut",Industrials,Trading Companies & Distributors
Kansas City Southern,0.054,KSU,"Kansas City, MO",Industrials,Railroads
"Cooper Cos., Inc.",0.053,CTB,"Findlay, OH",Consumer Discretionary,Tires & Rubber
Cincinnati Financial Corp.,0.053,CINF,"Fairfield, Ohio",Financials,Property & Casualty Insurance
"Gartner, Inc.",0.053,IT,"Stamford, Connecticut",Information Technology,IT Consulting & Other Services
Marathon Oil Corp.,0.053,MRO,"Houston, TX",Energy,Oil & Gas Exploration & Production
"CBRE Group, Inc. Class A",0.052,CBRE,"Dallas, Texas",Real Estate,Real Estate Services
"Coach, Inc.",0.052,TPR,"New York City, New York",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Pentair PLC,0.052,PNR,"Worsley, United Kingdom",Industrials,Industrial Machinery & Supplies & Components
"Twenty-First Century Fox, Inc. Class B",0.052,FOXA,"New York City, New York",Communication Services,Broadcasting
"Cadence Design Systems, Inc.",0.052,CDNS,"San Jose, California",Information Technology,Application Software
"Xylem, Inc.",0.052,XYL,"White Plains, New York",Industrials,Industrial Machinery & Supplies & Components
Perrigo Co. PLC,0.052,PRGO,"Dublin, Ireland",Healthcare,Drug Manufacturers - Specialty & Generic
"International Flavors & Fragrances, Inc.",0.052,IFF,"New York City, New York",Materials,Specialty Chemicals
EQT Corp.,0.052,EQT,"Pittsburgh, Pennsylvania",Energy,Oil & Gas Exploration & Production
Wyndham Worldwide Corp.,0.051,WYN,"Parsippany, NJ",Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Arthur J Gallagher & Co.,0.051,AJG,"Rolling Meadows, Illinois",Financials,Insurance Brokers
"Citrix Systems, Inc.",0.051,CTXS,"Fort Lauderdale, FL",Information Technology,Application Software
"Raymond James Financial, Inc.",0.051,RJF,"St. Petersburg, Florida",Financials,Investment Banking & Brokerage
"Total System Services, Inc.",0.051,TSS,"Columbus, GA",Information Technology,Data Processing & Outsourced Services
LKQ Corp.,0.051,LKQ,"Antioch, TN",Consumer Cyclical,Auto Parts
"ResMed, Inc.",0.05,RMD,"San Diego, California",Health Care,Health Care Equipment
"Hasbro, Inc.",0.05,HAS,"Pawtucket, Rhode Island",Consumer Discretionary,Leisure Products
"Affiliated Managers Group, Inc.",0.05,AMG,"West Palm Beach, FL",Financial Services,Asset Management
"Expeditors International of Washington, Inc.",0.05,EXPD,"Seattle, Washington",Industrials,Air Freight & Logistics
Packaging Corp. of America,0.05,PKG,"Lake Forest, Illinois",Materials,Paper & Plastic Packaging Products & Materials
"Alexandria Real Estate Equities, Inc. REIT",0.05,ARE,"Pasadena, California",Real Estate,Office REITs
Lennar Corp. Class A,0.05,LEN,"Miami, Florida",Consumer Discretionary,Homebuilding
"C.H. Robinson Worldwide, Inc.",0.05,CHRW,"Eden Prairie, Minnesota",Industrials,Air Freight & Logistics
Alliance Data Systems Corp.,0.049,ADS,"Columbus, OH",Information Technology,Data Processing & Outsourced Services
Brown-Forman Corp. Class B,0.049,BF.B,"Louisville, Kentucky",Consumer Staples,Distillers & Vintners
Cimarex Energy Co.,0.049,XEC,"Denver, CO",Energy,Oil & Gas Exploration & Production
"XL Group, Ltd.",0.049,XL,"Stamford, CT",Financials,Property & Casualty Insurance
"Juniper Networks, Inc.",0.049,JNPR,"Sunnyvale, CA",Information Technology,Communications Equipment
"CA, Inc.",0.048,CA,"Islandia, NY",Information Technology,Systems Software
"ANSYS, Inc.",0.048,ANSS,"Canonsburg, PA",Information Technology,Application Software
"CenturyLink, Inc.",0.048,CTL,"Monroe, LA",Communication Services,Integrated Telecommunication Services
SL Green Realty Corp. REIT,0.048,SLG,"New York, NY",Real Estate,REIT - Office
"Iron Mountain, Inc. REIT",0.048,IRM,"Portsmouth, New Hampshire",Real Estate,Other Specialized REITs
"Hologic, Inc.",0.048,HOLX,"Marlborough, Massachusetts",Health Care,Health Care Equipment
"Advanced Micro Devices, Inc.",0.048,AMD,"Santa Clara, California",Information Technology,Semiconductors
"BorgWarner, Inc.",0.047,BWA,"Auburn Hills, MI",Consumer Cyclical,Auto Parts
Duke Realty Corp. REIT,0.047,DRE,"Indianapolis, IN",Real Estate,Industrial REITs
PVH Corp.,0.047,PVH,"New York, NY",Consumer Cyclical,Apparel Manufacturing
"Fortune Brands Home & Security, Inc.",0.047,FBHS,"Deerfield, IL",Industrials,Building Products
"UDR, Inc. REIT",0.046,UDR,"Highlands Ranch, Colorado",Real Estate,Multi-Family Residential REITs
"L Brands, Inc.",0.046,LB,"Houston, TX",Energy,Oil & Gas Equipment & Services
"Extra Space Storage, Inc. REIT",0.046,EXR,"Salt Lake City, Utah",Real Estate,Self-Storage REITs
"Universal Health Services, Inc. Class B",0.046,UHS,"King of Prussia, Pennsylvania",Health Care,Health Care Facilities
"Viacom, Inc. Class B",0.045,VIAB,"New York, NY",Communication Services,Movies & Entertainment
"Darden Restaurants, Inc.",0.045,DRI,"Orlando, Florida",Consumer Discretionary,Restaurants
"JB Hunt Transport Services, Inc.",0.045,JBHT,"Lowell, Arkansas",Industrials,Cargo Ground Transportation
"W.W. Grainger, Inc.",0.045,GWW,"Lake Forest, Illinois",Industrials,Industrial Machinery & Supplies & Components
Seagate Technology PLC,0.045,STX,"Dublin, Ireland",Information Technology,"Technology Hardware, Storage & Peripherals"
"Arconic, Inc.",0.045,ARNC,"Pittsburgh, PA",Industrials,Aerospace & Defense
Zions Bancorp,0.044,ZION,"Salt Lake City, UT",Financial Services,Banks - Regional
Alliant Energy Corp.,0.044,LNT,"Madison, Wisconsin",Utilities,Electric Utilities
"VeriSign, Inc.",0.044,VRSN,"Reston, Virginia",Information Technology,Internet Services & Infrastructure
"Varian Medical Systems, Inc.",0.043,VAR,"Palo Alto, CA",Health Care,Health Care Equipment
Tiffany & Co.,0.043,TIF,"New York, NY",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
"Everest Re Group, Ltd.",0.043,RE,"Pembroke, Bermuda",Financials,Reinsurance
"Alaska Air Group, Inc.",0.043,ALK,"Seattle, WA",Industrials,Airlines
Pinnacle West Capital Corp.,0.043,PNW,"Phoenix, Arizona",Utilities,Multi-Utilities
"DaVita, Inc.",0.043,DVA,"Denver, Colorado",Health Care,Health Care Services
"Hanesbrands, Inc.",0.043,HBI,"Winston-Salem, NC",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Regency Centers Corp. REIT,0.042,REG,"Jacksonville, Florida",Real Estate,Retail REITs
Campbell Soup Co.,0.042,CPB,"Camden, New Jersey",Consumer Staples,Packaged Foods & Meats
Federal Realty Investment Trust REIT,0.041,FRT,"Rockville, Maryland",Real Estate,Retail REITs
"Qorvo, Inc.",0.041,QRVO,"Greensboro, NC",Technology,Semiconductors
Western Union Co.,0.041,WU,"Denver, CO",Financial Services,Credit Services
Torchmark Corp.,0.041,TMK,"McKinney, TX",Financials,Life & Health Insurance
"Nasdaq, Inc.",0.041,NDAQ,"New York City, New York",Financials,Financial Exchanges & Data
