Company,Weight,Ticker,Headquarters,GICS Sector,GICS Sub-Industry
"Apple, Inc.",6.086,AAPL,"Cupertino, California",Information Technology,"Technology Hardware, Storage & Peripherals"
Microsoft Corp.,5.803,MSFT,"Redmond, Washington",Information Technology,Systems Software
"Amazon.com, Inc. ",3.919,AMZN,"Seattle, Washington",Consumer Discretionary,Broadline Retail
"Facebook, Inc. Class A ",2.216,META,"Menlo Park, California",Communication Services,Interactive Media & Services
"Alphabet, Inc. Class A ",2.205,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
"Alphabet, Inc. Class C ",2.057,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
"Tesla, Inc. ",1.723,TSLA,"Austin, Texas",Consumer Discretionary,Automobile Manufacturers
NVIDIA Corp.,1.414,NVDA,"Santa Clara, California",Information Technology,Semiconductors
"Berkshire Hathaway, Inc. Class B ",1.386,BRK.B,"Omaha, Nebraska",Financials,Multi-Sector Holdings
JPMorgan Chase & Co.,1.34,JPM,"New York City, New York",Financials,Diversified Banks
Johnson & Johnson,1.164,JNJ,"New Brunswick, New Jersey",Health Care,Pharmaceuticals
"Visa, Inc. Class A",1.03,V,"San Francisco, California",Financials,Transaction & Payment Processing Services
"UnitedHealth Group, Inc.",1.009,UNH,"Eden Prairie, Minnesota",Health Care,Managed Health Care
"Home Depot, Inc.",0.956,HD,"Atlanta, Georgia",Consumer Discretionary,Home Improvement Retail
Procter & Gamble Co.,0.929,PG,"Cincinnati, Ohio",Consumer Staples,Personal Care Products
Bank of America Corp.,0.861,BAC,"Charlotte, North Carolina",Financials,Diversified Banks
Walt Disney Co. ,0.842,DIS,"Burbank, California",Communication Services,Movies & Entertainment
"PayPal Holdings, Inc. ",0.837,PYPL,"San Jose, California",Financials,Transaction & Payment Processing Services
"Mastercard, Inc. Class A",0.83,MA,"Harrison, New York",Financials,Transaction & Payment Processing Services
"Adobe, Inc. ",0.751,ADBE,"San Jose, California",Information Technology,Application Software
"Netflix, Inc. ",0.74,NFLX,"Los Gatos, California",Communication Services,Movies & Entertainment
"salesforce.com, Inc. ",0.722,CRM,"San Francisco, California",Information Technology,Application Software
Comcast Corp. Class A,0.702,CMCSA,"Philadelphia, Pennsylvania",Communication Services,Cable & Satellite
Exxon Mobil Corp.,0.682,XOM,"Irving, Texas",Energy,Integrated Oil & Gas
"Pfizer, Inc.",0.66,PFE,"New York City, New York",Health Care,Pharmaceuticals
"Cisco Systems, Inc.",0.628,CSCO,"San Jose, California",Information Technology,Communications Equipment
"Thermo Fisher Scientific, Inc.",0.616,TMO,"Waltham, Massachusetts",Health Care,Life Sciences Tools & Services
