Company,Weight,Ticker,Headquarters,GICS Sector,GICS Sub-Industry
Exxon Mobil Corp,3.316,XOM,"Irving, Texas",Energy,Integrated Oil & Gas
General Electric Co,3.036,GE,"Evendale, Ohio",Industrials,Aerospace & Defense
"Citigroup, Inc",2.042,C,"New York City, New York",Financials,Diversified Banks
Bank of America Corp,2.022,BAC,"Charlotte, North Carolina",Financials,Diversified Banks
Microsoft Corp,1.962,MSFT,"Redmond, Washington",Information Technology,Systems Software
"Pfizer, Inc",1.719,PFE,"New York City, New York",Health Care,Pharmaceuticals
Procter & Gamble Co,1.635,PG,"Cincinnati, Ohio",Consumer Staples,Personal Care Products
Johnson & Johnson,1.579,JNJ,"New Brunswick, New Jersey",Health Care,Pharmaceuticals
"American International Group, Inc",1.432,AIG,"New York City, New York",Financials,Multi-line Insurance
JPMorgan Chase & Co,1.356,JPM,"New York City, New York",Financials,Diversified Banks
"Altria Group, Inc",1.333,MO,"Richmond, Virginia",Consumer Staples,Tobacco
Chevron Corp,1.189,CVX,"Houston, Texas",Energy,Integrated Oil & Gas
"Cisco Systems, Inc ",1.168,CSCO,"San Jose, California",Information Technology,Communications Equipment
"AT&T, Inc",1.052,T,"Dallas, Texas",Communication Services,Integrated Telecommunication Services
International Business Machines Corp,1.036,IBM,"Armonk, New York",Information Technology,IT Consulting & Other Services
Wells Fargo & Co,1.013,WFC,"San Francisco, California",Financials,Diversified Banks
"Wal-Mart Stores, Inc",1.008,WMT,"Bentonville, Arkansas",Consumer Staples,Consumer Staples Merchandise Retail
Intel Corp,0.99,INTC,"Santa Clara, California",Information Technology,Semiconductors
"Verizon Communications, Inc",0.896,VZ,"New York City, New York",Communication Services,Integrated Telecommunication Services
"PepsiCo, Inc",0.892,PEP,"Purchase, New York",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Hewlett-Packard Co,0.835,HPQ,"Palo Alto, California",Information Technology,"Technology Hardware, Storage & Peripherals"
ConocoPhillips,0.813,COP,"Houston, Texas",Energy,Oil & Gas Exploration & Production
Coca-Cola Co (The),0.758,KO,"Atlanta, Georgia",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"Merck & Co, Inc",0.756,MRK,"Kenilworth, New Jersey",Health Care,Pharmaceuticals
Wachovia Corp,0.742,WB,"Beijing, China",Communication Services,Internet Content & Information
"Google, Inc, (Class A) ",0.713,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
"Amgen, Inc ",0.698,AMGN,"Thousand Oaks, California",Health Care,Biotechnology
Morgan Stanley,0.646,MS,"New York City, New York",Financials,Investment Banking & Brokerage
BellSouth Corp,0.646,BLS,"Atlanta, GA",Communication Services,Integrated Telecommunication Services
"United Parcel Service, Inc, (Class B)",0.645,UPS,"Sandy Springs, Georgia",Industrials,Air Freight & Logistics
"Comcast Corp, (Class A) ",0.643,CMCSA,"Philadelphia, Pennsylvania",Communication Services,Cable & Satellite
"Home Depot, Inc",0.62,HD,"Atlanta, Georgia",Consumer Discretionary,Home Improvement Retail
Abbott Laboratories,0.617,ABT,"North Chicago, Illinois",Health Care,Health Care Equipment
"Time Warner, Inc",0.613,TWX,"New York, NY",Communication Services,Movies & Entertainment
Schlumberger Ltd,0.611,SLB,"Houston, Texas",Energy,Oil & Gas Equipment & Services
"Goldman Sachs Group, Inc",0.604,GS,"New York City, New York",Financials,Investment Banking & Brokerage
Oracle Corp ,0.596,ORCL,"Austin, Texas",Information Technology,Application Software
"Merrill Lynch & Co, Inc",0.576,MER,"New York, NY",Financials,Investment Banking & Brokerage
American Express Co,0.572,AXP,"New York City, New York",Financials,Consumer Finance
Wyeth,0.566,WYE,"Madison, NJ",Health Care,Pharmaceuticals
"UnitedHealth Group, Inc",0.55,UNH,"Eden Prairie, Minnesota",Health Care,Managed Health Care
"Apple Computer, Inc ",0.542,AAPL,"Cupertino, California",Information Technology,"Technology Hardware, Storage & Peripherals"
Disney (Walt) Co (The),0.537,DIS,"Burbank, California",Communication Services,Movies & Entertainment
United Technologies Corp,0.53,UTX,"Farmington, CT",Industrials,Aerospace & Defense
Boeing Co,0.522,BA,"Arlington, Virginia",Industrials,Aerospace & Defense
"Motorola, Inc",0.511,MSI,"Chicago, Illinois",Information Technology,Communications Equipment
"QUALCOMM, Inc",0.504,QCOM,"San Diego, California",Information Technology,Semiconductors
US Bancorp,0.489,USB,"Minneapolis, Minnesota",Financials,Diversified Banks
Tyco International Ltd,0.472,TYC,"Schaffhausen, Switzerland",Industrials,Industrial Conglomerates
Lilly (Eli) & Co,0.464,LLY,"Indianapolis, Indiana",Health Care,Pharmaceuticals
3M Co,0.464,MMM,"Saint Paul, Minnesota",Industrials,Industrial Conglomerates
Fannie Mae,0.448,FNMA,"Washington, DC",Financial Services,Mortgage Finance
"Medtronic, Inc",0.443,MDT,"Dublin, Ireland",Health Care,Health Care Equipment
"Dell, Inc ",0.429,DELL,"Round Rock, Texas",Information Technology,"Technology Hardware, Storage & Peripherals"
"Texas Instruments, Inc",0.428,TXN,"Dallas, Texas",Information Technology,Semiconductors
Sprint Nextel Corp,0.423,S,"Mountain View, CA",Technology,Software - Infrastructure
Bristol-Myers Squibb Co,0.405,BMY,"New York City, New York",Health Care,Pharmaceuticals
McDonald's Corp,0.405,MCD,"Chicago, Illinois",Consumer Discretionary,Restaurants
"WellPoint, Inc ",0.397,ANTM,"Indianapolis, IN",Health Care,Managed Health Care
Target Corp,0.394,TGT,"Minneapolis, Minnesota",Consumer Staples,Consumer Staples Merchandise Retail
News Corp,0.384,NWSA,"New York City, New York",Communication Services,Publishing
Freddie Mac,0.379,FMCC,"McLean, VA",Financial Services,Mortgage Finance
Walgreen Co,0.371,WBA,"Deerfield, IL",Consumer Staples,Drug Retail
"Caterpillar, Inc",0.364,CAT,"Irving, Texas",Industrials,Construction Machinery & Heavy Transportation Equipment
"Lowe's Companies, Inc",0.361,LOW,"Mooresville, North Carolina",Consumer Discretionary,Home Improvement Retail
"MetLife, Inc",0.356,MET,"New York City, New York",Financials,Life & Health Insurance
"Washington Mutual, Inc",0.345,WM,"Houston, Texas",Industrials,Environmental & Facilities Services
Occidental Petroleum Corp,0.341,OXY,"Houston, Texas",Energy,Oil & Gas Exploration & Production
Exelon Corp,0.335,EXC,"Chicago, Illinois",Utilities,Electric Utilities
Allstate Corp,0.33,ALL,"Northbrook, Illinois",Financials,Property & Casualty Insurance
"Lehman Brothers Holdings, Inc",0.329,LEH,"New York, NY",Financials,Investment Banking & Brokerage
Du Pont (EI) de Nemours,0.326,DD,"Wilmington, Delaware",Materials,Specialty Chemicals
Duke Energy Corp,0.315,DUK,"Charlotte, North Carolina",Utilities,Electric Utilities
"Corning, Inc ",0.315,GLW,"Corning, New York",Information Technology,Electronic Components
"Prudential Financial, Inc",0.311,PRU,"Newark, New Jersey",Financials,Life & Health Insurance
Dow Chemical Co,0.311,DOW,"Midland, Michigan",Materials,Commodity Chemicals
"Anheuser-Busch Cos, Inc",0.304,BUD,"Leuven, Belgium",Consumer Defensive,Beverages - Brewers
Emerson Electric Co,0.284,EMR,"Ferguson, Missouri",Industrials,Electrical Components & Equipment
"Honeywell International, Inc",0.28,HON,"Charlotte, North Carolina",Industrials,Industrial Conglomerates
"eBay, Inc ",0.277,EBAY,"San Jose, California",Consumer Discretionary,Broadline Retail
FedEx Corp,0.274,FDX,"Memphis, Tennessee",Industrials,Air Freight & Logistics
Schering-Plough Corp,0.271,SGP,"Kenilworth, NJ",Health Care,Pharmaceuticals
"St Paul Travelers Cos, Inc (The)",0.27,TRV,"New York City, New York",Financials,Property & Casualty Insurance
First Data Corp,0.265,FDC,"Atlanta, GA",Information Technology,Data Processing & Outsourced Services
Colgate-Palmolive Co,0.264,CL,"New York City, New York",Consumer Staples,Household Products
"Yahoo!, Inc ",0.263,YHOO,"Sunnyvale, CA",Communication Services,Interactive Media & Services
Valero Energy Corp,0.262,VLO,"San Antonio, Texas",Energy,Oil & Gas Refining & Marketing
"Gilead Sciences, Inc ",0.258,GILD,"Foster City, California",Health Care,Biotechnology
Lockheed Martin Corp,0.252,LMT,"Bethesda, Maryland",Industrials,Aerospace & Defense
Kimberly-Clark Corp,0.248,KMB,"Irving, Texas",Consumer Staples,Household Products
"Baxter International, Inc",0.246,BAX,"Deerfield, Illinois",Health Care,Health Care Equipment
Halliburton Co,0.243,HAL,"Houston, Texas",Energy,Oil & Gas Equipment & Services
General Dynamics Corp,0.239,GD,"Reston, Virginia",Industrials,Aerospace & Defense
TXU Corp,0.239,TXU,"Dallas, TX",Utilities,Electric Utilities
EMC Corp ,0.234,EMC,"Hopkinton, MA",Information Technology,"Technology Hardware, Storage & Peripherals"
"SunTrust Banks, Inc",0.232,STI,"Dallas, TX",Industrials,Electrical Equipment & Parts
Marathon Oil Corp,0.23,MRO,"Houston, TX",Energy,Oil & Gas Exploration & Production
Devon Energy Corp,0.23,DVN,"Oklahoma City, Oklahoma",Energy,Oil & Gas Exploration & Production
"Bank of New York Co, Inc (The)",0.225,BK,"New York City, New York",Financials,Asset Management & Custody Banks
"Dominion Resources, Inc",0.225,D,"Richmond, Virginia",Utilities,Multi-Utilities
"Viacom, Inc, (Class B) ",0.222,VIAB,"New York, NY",Communication Services,Movies & Entertainment
"Cardinal Health, Inc",0.222,CAH,"Dublin, Ohio",Health Care,Health Care Distributors
Burlington Northern Santa Fe Corp,0.221,BNI,"Fort Worth, TX",Industrials,Railroads
"Automatic Data Processing, Inc",0.218,ADP,"Roseland, New Jersey",Industrials,Human Resource & Employment Services
"Hartford Financial Services Group, Inc (The)",0.218,HIG,"Hartford, Connecticut",Financials,Property & Casualty Insurance
CVS Corp,0.217,CVS,"Woonsocket, Rhode Island",Health Care,Health Care Services
Starbucks Corp ,0.216,SBUX,"Seattle, Washington",Consumer Discretionary,Restaurants
Southern Co (The),0.212,SO,"Atlanta, Georgia",Utilities,Electric Utilities
Monsanto Co,0.21,MON,"St. Louis, MO",Materials,Fertilizers & Agricultural Chemicals
Archer-Daniels-Midland Co,0.205,ADM,"Chicago, Illinois",Consumer Staples,Agricultural Products & Services
"Applied Materials, Inc",0.202,AMAT,"Santa Clara, California",Information Technology,Semiconductor Materials & Equipment
"Alcoa, Inc",0.202,AA,"Pittsburgh, PA",Basic Materials,Aluminum
"Caremark Rx, Inc",0.201,CMX,"Northbrook, IL",Health Care,Health Care Care Products
BB&T Corp,0.199,BBT,"Boston, MA",Financial Services,Banks - Regional
"Federated Department Stores, Inc",0.198,FD,"Cincinnati, OH",Consumer Discretionary,Department Stores
Capital One Financial Corp,0.197,COF,"Tysons Corner, Virginia",Financials,Consumer Finance
"Transocean, Inc ",0.197,RIG,"Steinhausen, Switzerland",Energy,Oil & Gas Drilling
Union Pacific Corp,0.196,UNP,"Omaha, Nebraska",Industrials,Rail Transportation
Costco Wholesale Corp,0.194,COST,"Issaquah, Washington",Consumer Staples,Consumer Staples Merchandise Retail
Northrop Grumman Corp,0.193,NOC,"West Falls Church, Virginia[3]",Industrials,Aerospace & Defense
"Baker Hughes, Inc",0.192,BKR,"Houston, Texas",Energy,Oil & Gas Equipment & Services
"Aflac, Inc",0.189,AFL,"Columbus, Georgia",Financials,Life & Health Insurance
"Adobe Systems, Inc ",0.185,ADBE,"San Jose, California",Information Technology,Application Software
"Aetna, Inc",0.185,AET,"Hartford, CT",Health Care,Managed Health Care
National City Corp,0.185,NCC,"Cleveland, OH",Financials,Regional Banks
"CBS Corp, (Class B)",0.18,CBS,"New York, NY",Communication Services,Broadcasting
"Best Buy Co, Inc",0.179,BBY,"Richfield, Minnesota",Consumer Discretionary,Computer & Electronics Retail
ALLTEL Corp,0.179,AT,"Little Rock, AR",Communication Services,Wireless Telecommunication Services
Chubb Corp,0.179,CB,"Zurich, Switzerland",Financials,Property & Casualty Insurance
SLM Corp,0.178,SLM,"Newark, DE",Financial Services,Credit Services
PNC Financial Services Group,0.177,PNC,"Pittsburgh, Pennsylvania",Financials,Diversified Banks
Raytheon Co,0.177,RTN,"Waltham, MA",Industrials,Aerospace & Defense
Kohl's Corp ,0.177,KSS,"Menomonee Falls, WI",Consumer Cyclical,Department Stores
Countrywide Financial Corp,0.176,CFC,"Calabasas, CA",Financials,Thrifts & Mortgage Finance
"HCA, Inc",0.176,HCA,"Nashville, Tennessee",Health Care,Health Care Facilities
Fifth Third Bancorp,0.175,FITB,"Cincinnati, Ohio",Financials,Regional Banks
Carnival Corp,0.175,CCL,"Miami, Florida",Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Symantec Corp ,0.175,SYMC,"Tempe, AZ",Information Technology,Systems Software
Apache Corp,0.172,APA,"Houston, Texas",Energy,Oil & Gas Exploration & Production
"McGraw-Hill Cos, Inc (The)",0.172,SPGI,"New York City, New York",Financials,Financial Exchanges & Data
State Street Corp ,0.171,STT,"Boston, Massachusetts",Financials,Asset Management & Custody Banks
Sysco Corp,0.171,SYY,"Houston, Texas",Consumer Staples,Food Distributors
Golden West Financial Corp,0.171,GDW,"Oakland, CA",Financials,Thrifts & Mortgage Finance
"Simon Property Group, Inc",0.167,SPG,"Indianapolis, Indiana",Real Estate,Retail REITs
"Waste Management, Inc",0.167,WM,"Houston, Texas",Industrials,Environmental & Facilities Services
Anadarko Petroleum Corp,0.167,APC,"The Woodlands, TX",Energy,Oil & Gas Exploration & Production
"General Mills, Inc",0.166,GIS,"Golden Valley, Minnesota",Consumer Staples,Packaged Foods & Meats
Deere & Co,0.164,DE,"Moline, Illinois",Industrials,Agricultural & Farm Machinery
Progressive Corp (The),0.159,PGR,"Mayfield Village, Ohio",Financials,Property & Casualty Insurance
