Company,Weight,Ticker,Headquarters,GICS Sector,GICS Sub-Industry
General Electric Co,3.917,GE,"Evendale, Ohio",Industrials,Aerospace & Defense
Microsoft Corp ,2.918,MSFT,"Redmond, Washington",Information Technology,Systems Software
Exxon Mobil Corp,2.878,XOM,"Irving, Texas",Energy,Integrated Oil & Gas
"Pfizer, Inc",2.682,PFE,"New York City, New York",Health Care,Pharmaceuticals
"Wal-Mart Stores, Inc",2.344,WMT,"Bentonville, Arkansas",Consumer Staples,Consumer Staples Merchandise Retail
"American International Group, Inc",2.164,AIG,"New York City, New York",Financials,Multi-line Insurance
"Citigroup, Inc",2.157,C,"New York City, New York",Financials,Diversified Banks
Johnson & Johnson,1.775,JNJ,"New Brunswick, New Jersey",Health Care,Pharmaceuticals
International Business Machines Corp,1.698,IBM,"Armonk, New York",Information Technology,IT Consulting & Other Services
"SBC Communications, Inc",1.679,SBC,"Irvine, CA",Industrials,Consulting Services
"Merck & Co, Inc",1.615,MRK,"Kenilworth, New Jersey",Health Care,Pharmaceuticals
"AOL Time Warner, Inc ",1.553,AOL,"New York, NY",Communication Services,Interactive Media & Services
Verizon Communications,1.552,VZ,"New York City, New York",Communication Services,Integrated Telecommunication Services
Intel Corp,1.456,INTC,"Santa Clara, California",Information Technology,Semiconductors
Coca Cola Co,1.233,KO,"Atlanta, Georgia",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Bristol-Myers Squibb Co,1.146,BMY,"New York City, New York",Health Care,Pharmaceuticals
Royal Dutch Petroleum Co,1.139,RD,"The Hague, Netherlands",Energy,Integrated Oil & Gas
"Philip Morris Cos, Inc",1.128,PM,"New York City, New York",Consumer Staples,Tobacco
Procter & Gamble Co,1.0,PG,"Cincinnati, Ohio",Consumer Staples,Personal Care Products
Bank of America Corp,0.994,BAC,"Charlotte, North Carolina",Financials,Diversified Banks
Lilly (Eli) & Co,0.963,LLY,"Indianapolis, Indiana",Health Care,Pharmaceuticals
"Home Depot, Inc (The)",0.95,HD,"Atlanta, Georgia",Consumer Discretionary,Home Improvement Retail
"Cisco Systems, Inc ",0.946,CSCO,"San Jose, California",Information Technology,Communications Equipment
"Tyco Laboratories, Inc",0.932,TYC,"Schaffhausen, Switzerland",Industrials,Industrial Conglomerates
"PepsiCo, Inc",0.903,PEP,"Purchase, New York",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Abbott Lab,0.851,ABT,"North Chicago, Illinois",Health Care,Health Care Equipment
Fannie Mae,0.85,FNMA,"Washington, DC",Financial Services,Mortgage Finance
Bellsouth Corp,0.826,BLS,"Atlanta, GA",Communication Services,Integrated Telecommunication Services
American Home Products Corp,0.812,AHP,"Madison, NJ",Health Care,Pharmaceuticals
Wells Fargo & Co,0.809,WFC,"San Francisco, California",Financials,Diversified Banks
Oracle Corp ,0.749,ORCL,"Austin, Texas",Information Technology,Application Software
J P Morgan Chase & Co,0.719,JPM,"New York City, New York",Financials,Diversified Banks
AT&T Corp,0.705,T,"Dallas, Texas",Communication Services,Integrated Telecommunication Services
"Viacom, Inc ",0.652,VIAB,"New York, NY",Communication Services,Movies & Entertainment
"Amgen, Inc ",0.65,AMGN,"Thousand Oaks, California",Health Care,Biotechnology
Chevron Corp,0.576,CVX,"Houston, Texas",Energy,Integrated Oil & Gas
Schering-Plough Corp,0.572,SGP,"Kenilworth, NJ",Health Care,Pharmaceuticals
Pharmacia Corp,0.56,PHA,"Peapack, NJ",Health Care,Pharmaceuticals
"Medtronic, Inc",0.56,MDT,"Dublin, Ireland",Health Care,Health Care Equipment
"Morgan Stanley, Dean Witter, Discover and Co",0.546,MS,"New York City, New York",Financials,Investment Banking & Brokerage
Dell Computer Corp ,0.511,DELL,"Round Rock, Texas",Information Technology,"Technology Hardware, Storage & Peripherals"
Freddie Mac,0.474,FMCC,"McLean, VA",Financial Services,Mortgage Finance
"Texas Instruments, Inc",0.46,TXN,"Dallas, Texas",Information Technology,Semiconductors
"WorldCom, Inc ",0.459,WCOM,"Clinton, MS",Communication Services,Alternative Carriers
Wachovia Corp,0.457,WB,"Beijing, China",Communication Services,Internet Content & Information
US Bancorp,0.447,USB,"Minneapolis, Minnesota",Financials,Diversified Banks
FleetBoston Financial Corp,0.421,FBF,"Boston, MA",Financials,Regional Banks
Minnesota Mining & Manufacturing Co,0.414,MMM,"Saint Paul, Minnesota",Industrials,Industrial Conglomerates
"Du Pont (EI) de Nemours & Co, Inc",0.414,DD,"Wilmington, Delaware",Materials,Specialty Chemicals
Disney (Walt) Co (The),0.412,DIS,"Burbank, California",Communication Services,Movies & Entertainment
American Express Co,0.405,AXP,"New York City, New York",Financials,Consumer Finance
"AT&T Wireless Services, Inc ",0.4,AWE,"Redmond, WA",Communication Services,Wireless Telecommunication Services
"Anheuser-Busch Cos, Inc",0.395,BUD,"Leuven, Belgium",Consumer Defensive,Beverages - Brewers
Banc One Corp,0.39,ONE,"Chicago, IL",Financials,Regional Banks
"QUALCOMM, Inc ",0.383,QCOM,"San Diego, California",Information Technology,Semiconductors
"Texaco, Inc",0.382,TX,"Luxembourg City, Luxembourg",Basic Materials,Steel
Walgreen Co,0.373,WBA,"Deerfield, IL",Consumer Staples,Drug Retail
Fifth Third Bancorp,0.372,FITB,"Cincinnati, Ohio",Financials,Regional Banks
McDonald's Corp,0.369,MCD,"Chicago, Illinois",Consumer Discretionary,Restaurants
"Motorola, Inc",0.365,MSI,"Chicago, Illinois",Information Technology,Communications Equipment
Comcast Corp ,0.36,CMCSA,"Philadelphia, Pennsylvania",Communication Services,Cable & Satellite
"Merrill Lynch & Co, Inc",0.359,MER,"New York, NY",Financials,Investment Banking & Brokerage
"Washington Mutual, Inc",0.358,WM,"Houston, Texas",Industrials,Environmental & Facilities Services
"Cardinal Health, Inc",0.352,CAH,"Dublin, Ohio",Health Care,Health Care Distributors
Kimberly-Clark Corp,0.349,KMB,"Irving, Texas",Consumer Staples,Household Products
Colgate Palmolive Co,0.343,CL,"New York City, New York",Consumer Staples,Household Products
"Baxter International, Inc",0.343,BAX,"Deerfield, Illinois",Health Care,Health Care Equipment
Ford Motor Co,0.334,F,"Dearborn, Michigan",Consumer Discretionary,Automobile Manufacturers
Hewlett Packard Co,0.333,HPQ,"Palo Alto, California",Information Technology,"Technology Hardware, Storage & Peripherals"
Gillette Co,0.33,G,"Hamilton, Bermuda",Technology,Information Technology Services
"Unilever NV, (NY Shares)",0.326,UL,"London, United Kingdom",Consumer Defensive,Household & Personal Products
Dow Chemical Co,0.311,DOW,"Midland, Michigan",Materials,Commodity Chemicals
Duke Energy Co,0.31,DUK,"Charlotte, North Carolina",Utilities,Electric Utilities
"Automatic Data Processing, Inc",0.308,ADP,"Roseland, New Jersey",Industrials,Human Resource & Employment Services
Boeing Co,0.308,BA,"Arlington, Virginia",Industrials,Aerospace & Defense
Target Corp,0.302,TGT,"Minneapolis, Minnesota",Consumer Staples,Consumer Staples Merchandise Retail
"Qwest Communications Intl, Inc",0.292,Q,"Wilmington, Delaware",Information Technology,Semiconductor Materials & Equipment
Allstate Corp,0.288,ALL,"Northbrook, Illinois",Financials,Property & Casualty Insurance
"Sun Microsystems, Inc ",0.287,JAVA,"Santa Clara, CA",Information Technology,Systems Software
Electronic Data Systems Corp,0.287,EDS,"Plano, TX",Information Technology,IT Consulting & Other Services
"Marsh & McLennan Cos, Inc",0.285,MMC,"New York, NY",Financial Services,Insurance Brokers
"Alcoa, Inc",0.281,AA,"Pittsburgh, PA",Basic Materials,Aluminum
Schlumberger Ltd,0.279,SLB,"Houston, Texas",Energy,Oil & Gas Equipment & Services
"Household International, Inc",0.276,HI,"Batesville, IN",Industrials,Specialty Industrial Machinery
EMC CORP,0.276,EMC,"Hopkinton, MA",Information Technology,"Technology Hardware, Storage & Peripherals"
MBNA Corp,0.272,KRB,"Charlotte, NC",Financials,Regional Banks
"Bank of New York, Inc",0.27,BK,"New York City, New York",Financials,Asset Management & Custody Banks
Sprint Corp (PCS Group) ,0.258,PCS,"Richardson, TX",Communication Services,Wireless Telecommunication Services
"Lowes Cos, Inc",0.257,LOW,"Mooresville, North Carolina",Consumer Discretionary,Home Improvement Retail
HCA-The Healthcare Co,0.255,HCA,"Nashville, Tennessee",Health Care,Health Care Facilities
General Motors Corp,0.251,GM,"Detroit, Michigan",Consumer Discretionary,Automobile Manufacturers
Clear Channel Communications ,0.249,CCU,"Santiago, Chile",Consumer Defensive,Beverages - Brewers
"Applied Materials, Inc ",0.244,AMAT,"Santa Clara, California",Information Technology,Semiconductor Materials & Equipment
First Data Corp,0.243,FDC,"Atlanta, GA",Information Technology,Data Processing & Outsourced Services
"MetLife, Inc",0.238,MET,"New York City, New York",Financials,Life & Health Insurance
United Technologies Corp,0.232,UTX,"Farmington, CT",Industrials,Aerospace & Defense
"United Health Group, Inc",0.226,UNH,"Eden Prairie, Minnesota",Health Care,Managed Health Care
"Honeywell International, Inc",0.225,HON,"Charlotte, North Carolina",Industrials,Industrial Conglomerates
Sprint Corp,0.225,S,"Mountain View, CA",Technology,Software - Infrastructure
El Paso Corp,0.223,EP,"Tulsa, OK",Energy,Oil & Gas E&P
Phillips Petroleum Co,0.217,P,"Bartlesville, OK",Energy,Integrated Oil & Gas
Enron Corp,0.217,ENE,"Houston, TX",Energy,Oil & Gas Storage & Transportation
"Safeway, Inc ",0.213,SWY,"Pleasanton, CA",Consumer Staples,Food Retail
Kroger Co ,0.213,KR,"Cincinnati, Ohio",Consumer Staples,Food Retail
Emerson Electric Co,0.211,EMR,"Ferguson, Missouri",Industrials,Electrical Components & Equipment
"Lucent Technologies, Inc",0.207,LU,"Shanghai, China",Financial Services,Credit Services
Tenet Healthcare Corp,0.205,THC,"Dallas, TX",Healthcare,Medical Care Facilities
"SunTrust Banks, Inc",0.204,STI,"Dallas, TX",Industrials,Electrical Equipment & Parts
Lockheed Martin Corp,0.202,LMT,"Bethesda, Maryland",Industrials,Aerospace & Defense
National City Corp,0.193,NCC,"Cleveland, OH",Financials,Regional Banks
Nortel Networks Corp,0.191,NT,"Mississauga, Canada",Information Technology,Communications Equipment
Alltel Corp,0.189,AT,"Little Rock, AR",Communication Services,Wireless Telecommunication Services
General Dynamics Corp,0.185,GD,"Reston, Virginia",Industrials,Aerospace & Defense
SYSCO Corp,0.18,SYY,"Houston, Texas",Consumer Staples,Food Distributors
Sara Lee Corp,0.179,SLE,"Santa Monica, CA",Communication Services,Internet Content & Information
International Paper Co,0.177,IP,"Memphis, Tennessee",Materials,Paper & Plastic Packaging Products & Materials
"Waste Management, Inc",0.177,WM,"Houston, Texas",Industrials,Environmental & Facilities Services
PNC Financial Services Group,0.176,PNC,"Pittsburgh, Pennsylvania",Financials,Diversified Banks
Southern Co,0.175,SO,"Atlanta, Georgia",Utilities,Electric Utilities
"Illinois Tool Works, Inc",0.173,ITW,"Glenview, Illinois",Industrials,Industrial Machinery & Supplies & Components
Schwab (Charles) Corp,0.171,SCHW,"Westlake, Texas",Financials,Investment Banking & Brokerage
