Company,Weight,Ticker,Headquarters,GICS Sector,GICS Sub-Industry
"Apple, Inc.",7.005,AAPL,"Cupertino, California",Information Technology,"Technology Hardware, Storage & Peripherals"
Microsoft Corp.,6.531,MSFT,"Redmond, Washington",Information Technology,Systems Software
"Amazon.com, Inc. ",3.213,AMZN,"Seattle, Washington",Consumer Discretionary,Broadline Retail
NVIDIA Corp.,2.991,NVDA,"Santa Clara, California",Information Technology,Semiconductors
"Alphabet, Inc. Class A ",2.162,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
"Tesla, Inc. ",1.924,TSLA,"Austin, Texas",Consumer Discretionary,Automobile Manufacturers
"Meta Platforms, Inc. Class A ",1.858,META,"Menlo Park, California",Communication Services,Interactive Media & Services
"Alphabet, Inc. Class C ",1.853,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
"Berkshire Hathaway, Inc. Class B ",1.779,BRK.B,"Omaha, Nebraska",Financials,Multi-Sector Holdings
Exxon Mobil Corp.,1.311,XOM,"Irving, Texas",Energy,Integrated Oil & Gas
"UnitedHealth Group, Inc.",1.3,UNH,"Eden Prairie, Minnesota",Health Care,Managed Health Care
Eli Lilly & Co.,1.193,LLY,"Indianapolis, Indiana",Health Care,Pharmaceuticals
JPMorgan Chase & Co.,1.174,JPM,"New York City, New York",Financials,Diversified Banks
Johnson & Johnson,1.044,JNJ,"New Brunswick, New Jersey",Health Care,Pharmaceuticals
"Visa, Inc. Class A",1.029,V,"San Francisco, California",Financials,Transaction & Payment Processing Services
Procter & Gamble Co.,0.957,PG,"Cincinnati, Ohio",Consumer Staples,Personal Care Products
"Broadcom, Inc.",0.954,AVGO,"Palo Alto, California",Information Technology,Semiconductors
"Mastercard, Inc. Class A",0.917,MA,"Harrison, New York",Financials,Transaction & Payment Processing Services
"Home Depot, Inc.",0.846,HD,"Atlanta, Georgia",Consumer Discretionary,Home Improvement Retail
Chevron Corp.,0.833,CVX,"Houston, Texas",Energy,Integrated Oil & Gas
"AbbVie, Inc.",0.733,ABBV,"North Chicago, Illinois",Health Care,Biotechnology
"Merck & Co., Inc.",0.727,MRK,"Kenilworth, New Jersey",Health Care,Pharmaceuticals
Costco Wholesale Corp.,0.697,COST,"Issaquah, Washington",Consumer Staples,Consumer Staples Merchandise Retail
"PepsiCo, Inc.",0.649,PEP,"Purchase, New York",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"Adobe, Inc. ",0.647,ADBE,"San Jose, California",Information Technology,Application Software
"Walmart, Inc.",0.636,WMT,"Bentonville, Arkansas",Consumer Staples,Consumer Staples Merchandise Retail
"Cisco Systems, Inc.",0.61,CSCO,"San Jose, California",Information Technology,Communications Equipment
Coca-Cola Co.,0.607,KO,"Atlanta, Georgia",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"Salesforce, Inc. ",0.55,CRM,"San Francisco, California",Information Technology,Application Software
"Thermo Fisher Scientific, Inc.",0.544,TMO,"Waltham, Massachusetts",Health Care,Life Sciences Tools & Services
Accenture PLC Class A,0.539,ACN,"Dublin, Ireland",Information Technology,IT Consulting & Other Services
McDonald's Corp.,0.535,MCD,"Chicago, Illinois",Consumer Discretionary,Restaurants
Bank of America Corp.,0.527,BAC,"Charlotte, North Carolina",Financials,Diversified Banks
"Pfizer, Inc.",0.521,PFE,"New York City, New York",Health Care,Pharmaceuticals
Comcast Corp. Class A,0.508,CMCSA,"Philadelphia, Pennsylvania",Communication Services,Cable & Satellite
Linde PLC,0.506,LIN,"Guildford, United Kingdom",Materials,Industrial Gases
Abbott Laboratories,0.468,ABT,"North Chicago, Illinois",Health Care,Health Care Equipment
"Netflix, Inc. ",0.466,NFLX,"Los Gatos, California",Communication Services,Movies & Entertainment
Oracle Corp.,0.464,ORCL,"Austin, Texas",Information Technology,Application Software
"Advanced Micro Devices, Inc. ",0.463,AMD,"Santa Clara, California",Information Technology,Semiconductors
Danaher Corp.,0.454,DHR,"Washington, D.C.",Health Care,Life Sciences Tools & Services
Wells Fargo & Co.,0.416,WFC,"San Francisco, California",Financials,Diversified Banks
Intel Corp.,0.414,INTC,"Santa Clara, California",Information Technology,Semiconductors
Walt Disney Co. ,0.413,DIS,"Burbank, California",Communication Services,Movies & Entertainment
"Texas Instruments, Inc.",0.402,TXN,"Dallas, Texas",Information Technology,Semiconductors
"Amgen, Inc.",0.4,AMGN,"Thousand Oaks, California",Health Care,Biotechnology
"Philip Morris International, Inc.",0.4,PM,"New York City, New York",Consumer Staples,Tobacco
ConocoPhillips,0.399,COP,"Houston, Texas",Energy,Oil & Gas Exploration & Production
"Intuit, Inc.",0.398,INTU,"Mountain View, California",Information Technology,Application Software
"Caterpillar, Inc.",0.388,CAT,"Irving, Texas",Industrials,Construction Machinery & Heavy Transportation Equipment
"Verizon Communications, Inc.",0.379,VZ,"New York City, New York",Communication Services,Integrated Telecommunication Services
International Business Machines Corp.,0.356,IBM,"Armonk, New York",Information Technology,IT Consulting & Other Services
Union Pacific Corp.,0.346,UNP,"Omaha, Nebraska",Industrials,Rail Transportation
"QUALCOMM, Inc.",0.345,QCOM,"San Diego, California",Information Technology,Semiconductors
"Honeywell International, Inc.",0.342,HON,"Charlotte, North Carolina",Industrials,Industrial Conglomerates
"Lowe's Cos., Inc.",0.339,LOW,"Mooresville, North Carolina",Consumer Discretionary,Home Improvement Retail
Bristol-Myers Squibb Co.,0.338,BMY,"New York City, New York",Health Care,Pharmaceuticals
General Electric Co.,0.335,GE,"Evendale, Ohio",Industrials,Aerospace & Defense
"S&P Global, Inc.",0.331,SPGI,"New York City, New York",Financials,Financial Exchanges & Data
"NIKE, Inc. Class B",0.326,NKE,"Washington County, Oregon",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
"Applied Materials, Inc.",0.324,AMAT,"Santa Clara, California",Information Technology,Semiconductor Materials & Equipment
"NextEra Energy, Inc.",0.323,NEE,"Juno Beach, Florida",Utilities,Multi-Utilities
"ServiceNow, Inc. ",0.317,NOW,"Santa Clara, California",Information Technology,Systems Software
"United Parcel Service, Inc. Class B",0.314,UPS,"Sandy Springs, Georgia",Industrials,Air Freight & Logistics
"Booking Holdings, Inc. ",0.306,BKNG,"Norwalk, Connecticut",Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Boeing Co. ,0.303,BA,"Arlington, Virginia",Industrials,Aerospace & Defense
"AT&T, Inc.",0.299,T,"Dallas, Texas",Communication Services,Integrated Telecommunication Services
"Goldman Sachs Group, Inc.",0.297,GS,"New York City, New York",Financials,Investment Banking & Brokerage
RTX Corp.,0.292,RTX,"Waltham, Massachusetts",Industrials,Aerospace & Defense
Starbucks Corp.,0.291,SBUX,"Seattle, Washington",Consumer Discretionary,Restaurants
Medtronic PLC,0.29,MDT,"Dublin, Ireland",Health Care,Health Care Equipment
Morgan Stanley,0.29,MS,"New York City, New York",Financials,Investment Banking & Brokerage
"Prologis, Inc. REIT",0.289,PLD,"San Francisco, California",Real Estate,Industrial REITs
Deere & Co.,0.287,DE,"Moline, Illinois",Industrials,Agricultural & Farm Machinery
"Intuitive Surgical, Inc. ",0.286,ISRG,"Sunnyvale, California",Health Care,Health Care Equipment
"Elevance Health, Inc.",0.286,ELV,"Indianapolis, Indiana",Health Care,Managed Health Care
"TJX Cos., Inc.",0.284,TJX,"Framingham, Massachusetts",Consumer Discretionary,Apparel Retail
"Automatic Data Processing, Inc.",0.276,ADP,"Roseland, New Jersey",Industrials,Human Resource & Employment Services
"Mondelez International, Inc. Class A",0.263,MDLZ,"Chicago, Illinois",Consumer Staples,Packaged Foods & Meats
"Marsh & McLennan Cos., Inc.",0.262,MMC,"New York, NY",Financial Services,Insurance Brokers
"Gilead Sciences, Inc.",0.26,GILD,"Foster City, California",Health Care,Biotechnology
Stryker Corp.,0.257,SYK,"Kalamazoo, Michigan",Health Care,Health Care Equipment
Lockheed Martin Corp.,0.255,LMT,"Bethesda, Maryland",Industrials,Aerospace & Defense
"BlackRock, Inc.",0.253,BLK,"New York City, New York",Financials,Asset Management & Custody Banks
CVS Health Corp.,0.25,CVS,"Woonsocket, Rhode Island",Health Care,Health Care Services
"Vertex Pharmaceuticals, Inc. ",0.249,VRTX,"Boston, Massachusetts",Health Care,Biotechnology
"Regeneron Pharmaceuticals, Inc. ",0.245,REGN,"Tarrytown, New York",Health Care,Biotechnology
"Analog Devices, Inc.",0.244,ADI,"Wilmington, Massachusetts",Information Technology,Semiconductors
American Express Co.,0.242,AXP,"New York City, New York",Financials,Consumer Finance
Chubb Ltd.,0.238,CB,"Zurich, Switzerland",Financials,Property & Casualty Insurance
Eaton Corp. PLC,0.237,ETN,"Dublin, Ireland",Industrials,Electrical Components & Equipment
Cigna Group,0.236,CI,"Bloomfield, Connecticut",Health Care,Health Care Services
Lam Research Corp.,0.233,LRCX,"Fremont, California",Information Technology,Semiconductor Materials & Equipment
Schlumberger NV,0.231,SLB,"Houston, Texas",Energy,Oil & Gas Equipment & Services
Charles Schwab Corp.,0.227,SCHW,"Westlake, Texas",Financials,Investment Banking & Brokerage
Progressive Corp.,0.227,PGR,"Mayfield Village, Ohio",Financials,Property & Casualty Insurance
"Zoetis, Inc.",0.223,ZTS,"Parsippany, New Jersey",Health Care,Pharmaceuticals
"Citigroup, Inc.",0.221,C,"New York City, New York",Financials,Diversified Banks
Boston Scientific Corp. ,0.215,BSX,"Marlborough, Massachusetts",Health Care,Health Care Equipment
American Tower Corp. REIT,0.213,AMT,"Boston, Massachusetts",Real Estate,Telecom Tower REITs
"Blackstone, Inc.",0.212,BX,"New York City, New York",Financials,Asset Management & Custody Banks
Becton Dickinson & Co.,0.209,BDX,"Franklin Lakes, New Jersey",Health Care,Health Care Equipment
"Altria Group, Inc.",0.208,MO,"Richmond, Virginia",Consumer Staples,Tobacco
"Micron Technology, Inc.",0.207,MU,"Boise, Idaho",Information Technology,Semiconductors
"EOG Resources, Inc.",0.206,EOG,"Houston, Texas",Energy,Oil & Gas Exploration & Production
"T-Mobile U.S., Inc. ",0.202,TMUS,"Bellevue, Washington",Communication Services,Wireless Telecommunication Services
"CME Group, Inc.",0.201,CME,"Chicago, Illinois",Financials,Financial Exchanges & Data
"Palo Alto Networks, Inc. ",0.2,PANW,"Santa Clara, California",Information Technology,Systems Software
Southern Co.,0.196,SO,"Atlanta, Georgia",Utilities,Electric Utilities
"Synopsys, Inc. ",0.194,SNPS,"Sunnyvale, California",Information Technology,Application Software
"Fiserv, Inc. ",0.192,FI,"Milwaukee, WI",Financials,Transaction & Payment Processing Services
Duke Energy Corp.,0.189,DUK,"Charlotte, North Carolina",Utilities,Electric Utilities
"Equinix, Inc. REIT",0.189,EQIX,"Redwood City, California",Real Estate,Data Center REITs
"Activision Blizzard, Inc.",0.186,ATVI,"Santa Monica, CA",Communication Services,Interactive Home Entertainment
Aon PLC Class A,0.183,AON,"London, United Kingdom",Financials,Insurance Brokers
"PayPal Holdings, Inc. ",0.179,PYPL,"San Jose, California",Financials,Transaction & Payment Processing Services
"Cadence Design Systems, Inc. ",0.177,CDNS,"San Jose, California",Information Technology,Application Software
"Illinois Tool Works, Inc.",0.176,ITW,"Glenview, Illinois",Industrials,Industrial Machinery & Supplies & Components
"Intercontinental Exchange, Inc. ",0.175,ICE,"Atlanta, Georgia",Financials,Financial Exchanges & Data
"Air Products & Chemicals, Inc.",0.175,APD,"Upper Macungie Township, Pennsylvania",Materials,Industrial Gases
