Company,Weight,Ticker,Headquarters,GICS Sector,GICS Sub-Industry
"Apple, Inc.",6.928,AAPL,"Cupertino, California",Information Technology,"Technology Hardware, Storage & Peripherals"
Microsoft Corp.,5.765,MSFT,"Redmond, Washington",Information Technology,Systems Software
"Amazon.com, Inc. ",3.324,AMZN,"Seattle, Washington",Consumer Discretionary,Broadline Retail
"Tesla, Inc. ",2.345,TSLA,"Austin, Texas",Consumer Discretionary,Automobile Manufacturers
"Alphabet, Inc. Class A ",1.904,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
"Alphabet, Inc. Class C ",1.711,GOOGL,"Mountain View, California",Communication Services,Interactive Media & Services
"Berkshire Hathaway, Inc. Class B ",1.598,BRK.B,"Omaha, Nebraska",Financials,Multi-Sector Holdings
"UnitedHealth Group, Inc.",1.568,UNH,"Eden Prairie, Minnesota",Health Care,Managed Health Care
Johnson & Johnson,1.426,JNJ,"New Brunswick, New Jersey",Health Care,Pharmaceuticals
Exxon Mobil Corp.,1.208,XOM,"Irving, Texas",Energy,Integrated Oil & Gas
"Meta Platforms, Inc. Class A ",1.027,META,"Menlo Park, California",Communication Services,Interactive Media & Services
JPMorgan Chase & Co.,1.017,JPM,"New York City, New York",Financials,Diversified Banks
NVIDIA Corp.,1.009,NVDA,"Santa Clara, California",Information Technology,Semiconductors
Procter & Gamble Co.,1.002,PG,"Cincinnati, Ohio",Consumer Staples,Personal Care Products
"Visa, Inc. Class A",0.964,V,"San Francisco, California",Financials,Transaction & Payment Processing Services
"Home Depot, Inc.",0.941,HD,"Atlanta, Georgia",Consumer Discretionary,Home Improvement Retail
Chevron Corp.,0.859,CVX,"Houston, Texas",Energy,Integrated Oil & Gas
Eli Lilly & Co.,0.846,LLY,"Indianapolis, Indiana",Health Care,Pharmaceuticals
"Pfizer, Inc.",0.815,PFE,"New York City, New York",Health Care,Pharmaceuticals
"Mastercard, Inc. Class A",0.805,MA,"Harrison, New York",Financials,Transaction & Payment Processing Services
"AbbVie, Inc.",0.788,ABBV,"North Chicago, Illinois",Health Care,Biotechnology
"PepsiCo, Inc.",0.747,PEP,"Purchase, New York",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
"Merck & Co., Inc.",0.724,MRK,"Kenilworth, New Jersey",Health Care,Pharmaceuticals
Coca-Cola Co.,0.723,KO,"Atlanta, Georgia",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Bank of America Corp.,0.701,BAC,"Charlotte, North Carolina",Financials,Diversified Banks
Costco Wholesale Corp.,0.694,COST,"Issaquah, Washington",Consumer Staples,Consumer Staples Merchandise Retail
"Thermo Fisher Scientific, Inc.",0.66,TMO,"Waltham, Massachusetts",Health Care,Life Sciences Tools & Services
"Walmart, Inc.",0.614,WMT,"Bentonville, Arkansas",Consumer Staples,Consumer Staples Merchandise Retail
"Broadcom, Inc.",0.595,AVGO,"Palo Alto, California",Information Technology,Semiconductors
Walt Disney Co. ,0.571,DIS,"Burbank, California",Communication Services,Movies & Entertainment
McDonald's Corp.,0.563,MCD,"Chicago, Illinois",Consumer Discretionary,Restaurants
Abbott Laboratories,0.562,ABT,"North Chicago, Illinois",Health Care,Health Care Equipment
Danaher Corp.,0.561,DHR,"Washington, D.C.",Health Care,Life Sciences Tools & Services
"Cisco Systems, Inc.",0.55,CSCO,"San Jose, California",Information Technology,Communications Equipment
Accenture PLC Class A,0.539,ACN,"Dublin, Ireland",Information Technology,IT Consulting & Other Services
"Verizon Communications, Inc.",0.529,VZ,"New York City, New York",Communication Services,Integrated Telecommunication Services
"NextEra Energy, Inc.",0.511,NEE,"Juno Beach, Florida",Utilities,Multi-Utilities
Wells Fargo & Co.,0.506,WFC,"San Francisco, California",Financials,Diversified Banks
Bristol-Myers Squibb Co.,0.504,BMY,"New York City, New York",Health Care,Pharmaceuticals
"Salesforce, Inc. ",0.475,CRM,"San Francisco, California",Information Technology,Application Software
"Texas Instruments, Inc.",0.469,TXN,"Dallas, Texas",Information Technology,Semiconductors
Linde PLC,0.446,LIN,"Guildford, United Kingdom",Materials,Industrial Gases
ConocoPhillips,0.432,COP,"Houston, Texas",Energy,Oil & Gas Exploration & Production
Comcast Corp. Class A,0.429,CMCSA,"Philadelphia, Pennsylvania",Communication Services,Cable & Satellite
"Adobe, Inc. ",0.427,ADBE,"San Jose, California",Information Technology,Application Software
"Philip Morris International, Inc.",0.427,PM,"New York City, New York",Consumer Staples,Tobacco
"QUALCOMM, Inc.",0.421,QCOM,"San Diego, California",Information Technology,Semiconductors
CVS Health Corp.,0.416,CVS,"Woonsocket, Rhode Island",Health Care,Health Care Services
Union Pacific Corp.,0.405,UNP,"Omaha, Nebraska",Industrials,Rail Transportation
Raytheon Technologies Corp.,0.401,RTN,"Waltham, MA",Industrials,Aerospace & Defense
"Amgen, Inc.",0.4,AMGN,"Thousand Oaks, California",Health Care,Biotechnology
"Lowe's Cos., Inc.",0.398,LOW,"Mooresville, North Carolina",Consumer Discretionary,Home Improvement Retail
"United Parcel Service, Inc. Class B",0.393,UPS,"Sandy Springs, Georgia",Industrials,Air Freight & Logistics
"Honeywell International, Inc.",0.373,HON,"Charlotte, North Carolina",Industrials,Industrial Conglomerates
Charles Schwab Corp.,0.364,SCHW,"Westlake, Texas",Financials,Investment Banking & Brokerage
"AT&T, Inc.",0.363,T,"Dallas, Texas",Communication Services,Integrated Telecommunication Services
"Elevance Health, Inc.",0.363,ELV,"Indianapolis, Indiana",Health Care,Managed Health Care
"Intuit, Inc.",0.362,INTU,"Mountain View, California",Information Technology,Application Software
International Business Machines Corp.,0.356,IBM,"Armonk, New York",Information Technology,IT Consulting & Other Services
Medtronic PLC,0.356,MDT,"Dublin, Ireland",Health Care,Health Care Equipment
Intel Corp.,0.351,INTC,"Santa Clara, California",Information Technology,Semiconductors
Morgan Stanley,0.351,MS,"New York City, New York",Financials,Investment Banking & Brokerage
"NIKE, Inc. Class B",0.349,NKE,"Washington County, Oregon",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
"Netflix, Inc. ",0.348,NFLX,"Los Gatos, California",Communication Services,Movies & Entertainment
"S&P Global, Inc.",0.345,SPGI,"New York City, New York",Financials,Financial Exchanges & Data
"Advanced Micro Devices, Inc. ",0.34,AMD,"Santa Clara, California",Information Technology,Semiconductors
"Goldman Sachs Group, Inc.",0.333,GS,"New York City, New York",Financials,Investment Banking & Brokerage
American Tower Corp. REIT,0.332,AMT,"Boston, Massachusetts",Real Estate,Telecom Tower REITs
"PayPal Holdings, Inc. ",0.331,PYPL,"San Jose, California",Financials,Transaction & Payment Processing Services
Starbucks Corp.,0.32,SBUX,"Seattle, Washington",Consumer Discretionary,Restaurants
"Automatic Data Processing, Inc.",0.312,ADP,"Roseland, New Jersey",Industrials,Human Resource & Employment Services
Deere & Co.,0.309,DE,"Moline, Illinois",Industrials,Agricultural & Farm Machinery
Oracle Corp.,0.308,ORCL,"Austin, Texas",Information Technology,Application Software
Lockheed Martin Corp.,0.303,LMT,"Bethesda, Maryland",Industrials,Aerospace & Defense
"Caterpillar, Inc.",0.287,CAT,"Irving, Texas",Industrials,Construction Machinery & Heavy Transportation Equipment
Cigna Corp.,0.281,CI,"Bloomfield, Connecticut",Health Care,Health Care Services
"BlackRock, Inc.",0.275,BLK,"New York City, New York",Financials,Asset Management & Custody Banks
American Express Co.,0.269,AXP,"New York City, New York",Financials,Consumer Finance
"T-Mobile US, Inc. ",0.268,TMUS,"Bellevue, Washington",Communication Services,Wireless Telecommunication Services
"Citigroup, Inc.",0.268,C,"New York City, New York",Financials,Diversified Banks
"Gilead Sciences, Inc.",0.257,GILD,"Foster City, California",Health Care,Biotechnology
"ServiceNow, Inc. ",0.253,NOW,"Santa Clara, California",Information Technology,Systems Software
"Chubb, Ltd.",0.252,CB,"Zurich, Switzerland",Financials,Property & Casualty Insurance
"Prologis, Inc. REIT",0.25,PLD,"San Francisco, California",Real Estate,Industrial REITs
"Mondelez International, Inc. Class A",0.249,MDLZ,"Chicago, Illinois",Consumer Staples,Packaged Foods & Meats
"Marsh & McLennan Cos., Inc.",0.247,MMC,"New York, NY",Financial Services,Insurance Brokers
"Vertex Pharmaceuticals, Inc. ",0.246,VRTX,"Boston, Massachusetts",Health Care,Biotechnology
"Regeneron Pharmaceuticals, Inc. ",0.246,REGN,"Tarrytown, New York",Health Care,Biotechnology
"Analog Devices, Inc.",0.242,ADI,"Wilmington, Massachusetts",Information Technology,Semiconductors
"TJX Cos., Inc.",0.241,TJX,"Framingham, Massachusetts",Consumer Discretionary,Apparel Retail
"Altria Group, Inc.",0.241,MO,"Richmond, Virginia",Consumer Staples,Tobacco
Southern Co.,0.24,SO,"Atlanta, Georgia",Utilities,Electric Utilities
Duke Energy Corp.,0.237,DUK,"Charlotte, North Carolina",Utilities,Electric Utilities
"Applied Materials, Inc.",0.237,AMAT,"Santa Clara, California",Information Technology,Semiconductor Materials & Equipment
"Zoetis, Inc.",0.231,ZTS,"Parsippany, New Jersey",Health Care,Pharmaceuticals
Target Corp.,0.228,TGT,"Minneapolis, Minnesota",Consumer Staples,Consumer Staples Merchandise Retail
Northrop Grumman Corp.,0.228,NOC,"West Falls Church, Virginia[3]",Industrials,Aerospace & Defense
Stryker Corp.,0.226,SYK,"Kalamazoo, Michigan",Health Care,Health Care Equipment
Progressive Corp.,0.225,PGR,"Mayfield Village, Ohio",Financials,Property & Casualty Insurance
General Electric Co.,0.225,GE,"Evendale, Ohio",Industrials,Aerospace & Defense
Boeing Co. ,0.224,BA,"Arlington, Virginia",Industrials,Aerospace & Defense
"Intuitive Surgical, Inc. ",0.223,ISRG,"Sunnyvale, California",Health Care,Health Care Equipment
"EOG Resources, Inc.",0.217,EOG,"Houston, Texas",Energy,Oil & Gas Exploration & Production
"Booking Holdings, Inc. ",0.217,BKNG,"Norwalk, Connecticut",Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Becton Dickinson & Co.,0.211,BDX,"Franklin Lakes, New Jersey",Health Care,Health Care Equipment
"CME Group, Inc.",0.21,CME,"Chicago, Illinois",Financials,Financial Exchanges & Data
"Crown Castle, Inc. REIT",0.207,CCI,"Houston, Texas",Real Estate,Telecom Tower REITs
"PNC Financial Services Group, Inc.",0.204,PNC,"Pittsburgh, Pennsylvania",Financials,Diversified Banks
"Humana, Inc.",0.203,HUM,"Louisville, Kentucky",Health Care,Managed Health Care
3M Co.,0.202,MMM,"Saint Paul, Minnesota",Industrials,Industrial Conglomerates
"Waste Management, Inc.",0.2,WM,"Houston, Texas",Industrials,Environmental & Facilities Services
"Fiserv, Inc. ",0.199,FI,"Milwaukee, WI",Financials,Transaction & Payment Processing Services
Colgate-Palmolive Co.,0.195,CL,"New York City, New York",Consumer Staples,Household Products
Truist Financial Corp.,0.191,TFC,"Charlotte, North Carolina",Financials,Diversified Banks
"Dominion Energy, Inc.",0.191,D,"Richmond, Virginia",Utilities,Multi-Utilities
CSX Corp.,0.189,CSX,"Jacksonville, Florida",Industrials,Rail Transportation
Aon PLC Class A,0.188,AON,"London, United Kingdom",Financials,Insurance Brokers
"Micron Technology, Inc.",0.185,MU,"Boise, Idaho",Information Technology,Semiconductors
Boston Scientific Corp. ,0.183,BSX,"Marlborough, Massachusetts",Health Care,Health Care Equipment
Dollar General Corp.,0.182,DG,"Goodlettsville, Tennessee",Consumer Staples,Consumer Staples Merchandise Retail
US Bancorp,0.181,USB,"Minneapolis, Minnesota",Financials,Diversified Banks
Eaton Corp. PLC,0.176,ETN,"Dublin, Ireland",Industrials,Electrical Components & Equipment
"Activision Blizzard, Inc.",0.176,ATVI,"Santa Monica, CA",Communication Services,Interactive Home Entertainment
Pioneer Natural Resources Co.,0.172,PXD,"Irving, TX",Energy,Oil & Gas Exploration & Production
"Equinix, Inc. REIT",0.171,EQIX,"Redwood City, California",Real Estate,Data Center REITs
"Air Products & Chemicals, Inc.",0.171,APD,"Upper Macungie Township, Pennsylvania",Materials,Industrial Gases
Edwards Lifesciences Corp. ,0.17,EW,"Irvine, California",Health Care,Health Care Equipment
"Illinois Tool Works, Inc.",0.169,ITW,"Glenview, Illinois",Industrials,Industrial Machinery & Supplies & Components
Schlumberger NV,0.168,SLB,"Houston, Texas",Energy,Oil & Gas Equipment & Services
"Intercontinental Exchange, Inc. ",0.167,ICE,"Atlanta, Georgia",Financials,Financial Exchanges & Data
Lam Research Corp.,0.166,LRCX,"Fremont, California",Information Technology,Semiconductor Materials & Equipment
"Estee Lauder Cos., Inc. Class A",0.166,EL,"New York City, New York",Consumer Staples,Personal Care Products
Marathon Petroleum Corp.,0.164,MPC,"Findlay, Ohio",Energy,Oil & Gas Refining & Marketing
Norfolk Southern Corp.,0.163,NSC,"Atlanta, Georgia",Industrials,Rail Transportation
McKesson Corp.,0.163,MCK,"Irving, Texas",Health Care,Health Care Distributors
Sherwin-Williams Co.,0.16,SHW,"Cleveland, Ohio",Materials,Specialty Chemicals
General Dynamics Corp.,0.158,GD,"Reston, Virginia",Industrials,Aerospace & Defense
Sempra Energy,0.156,SRE,"San Diego, California",Utilities,Multi-Utilities
General Motors Co.,0.155,GM,"Detroit, Michigan",Consumer Discretionary,Automobile Manufacturers
"Synopsys, Inc. ",0.155,SNPS,"Sunnyvale, California",Information Technology,Application Software
Public Storage REIT,0.154,PSA,"Glendale, California",Real Estate,Self-Storage REITs
"Fidelity National Information Services, Inc.",0.153,FIS,"Jacksonville, Florida",Financials,Transaction & Payment Processing Services
"General Mills, Inc.",0.153,GIS,"Golden Valley, Minnesota",Consumer Staples,Packaged Foods & Meats
Occidental Petroleum Corp.,0.152,OXY,"Houston, Texas",Energy,Oil & Gas Exploration & Production
Archer-Daniels-Midland Co.,0.15,ADM,"Chicago, Illinois",Consumer Staples,Agricultural Products & Services
"O'Reilly Automotive, Inc. ",0.149,ORLY,"Springfield, Missouri",Consumer Discretionary,Automotive Retail
"Cadence Design Systems, Inc. ",0.149,CDNS,"San Jose, California",Information Technology,Application Software
Centene Corp. ,0.148,CNC,"St. Louis, Missouri",Health Care,Managed Health Care
"American Electric Power Co., Inc.",0.147,AEP,"Columbus, Ohio",Utilities,Electric Utilities
Ford Motor Co.,0.147,F,"Dearborn, Michigan",Consumer Discretionary,Automobile Manufacturers
Emerson Electric Co.,0.144,EMR,"Ferguson, Missouri",Industrials,Electrical Components & Equipment
KLA Corp.,0.142,KLAC,"Milpitas, California",Information Technology,Semiconductor Materials & Equipment
Valero Energy Corp.,0.14,VLO,"San Antonio, Texas",Energy,Oil & Gas Refining & Marketing
"AutoZone, Inc. ",0.139,AZO,"Memphis, Tennessee",Consumer Discretionary,Automotive Retail
"Chipotle Mexican Grill, Inc. ",0.138,CMG,"Newport Beach, California",Consumer Discretionary,Restaurants
"Corteva, Inc.",0.137,CTVA,"Indianapolis, Indiana",Materials,Fertilizers & Agricultural Chemicals
"MetLife, Inc.",0.135,MET,"New York City, New York",Financials,Life & Health Insurance
"Autodesk, Inc. ",0.135,ADSK,"San Francisco, California",Information Technology,Application Software
"L3Harris Technologies, Inc.",0.133,LHX,"Melbourne, Florida",Industrials,Aerospace & Defense
"Moderna, Inc. ",0.132,MRNA,"Cambridge, Massachusetts",Health Care,Biotechnology
Amphenol Corp. Class A,0.132,APH,"Wallingford, Connecticut",Information Technology,Electronic Components
"HCA Healthcare, Inc.",0.131,HCA,"Nashville, Tennessee",Health Care,Health Care Facilities
Devon Energy Corp.,0.131,DVN,"Oklahoma City, Oklahoma",Energy,Oil & Gas Exploration & Production
"Freeport-McMoRan, Inc.",0.13,FCX,"Phoenix, Arizona",Materials,Copper
NXP Semiconductors NV,0.129,NXPI,"Eindhoven, Netherlands",Information Technology,Semiconductors
"Biogen, Inc. ",0.129,BIIB,"Cambridge, Massachusetts",Health Care,Biotechnology
Phillips 66,0.129,PSX,"Houston, Texas",Energy,Oil & Gas Refining & Marketing
"Marriott International, Inc. Class A",0.128,MAR,"Bethesda, Maryland",Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Moody's Corp.,0.127,MCO,"New York City, New York",Financials,Financial Exchanges & Data
Kimberly-Clark Corp.,0.126,KMB,"Irving, Texas",Consumer Staples,Household Products
"Roper Technologies, Inc.",0.126,ROP,"Sarasota, Florida",Information Technology,Electronic Equipment & Instruments
"Enphase Energy, Inc. ",0.125,ENPH,"Fremont, CA",Technology,Solar
"Motorola Solutions, Inc.",0.125,MSI,"Chicago, Illinois",Information Technology,Communications Equipment
Exelon Corp.,0.123,EXC,"Chicago, Illinois",Utilities,Electric Utilities
"Travelers Cos., Inc.",0.122,TRV,"New York City, New York",Financials,Property & Casualty Insurance
"Constellation Brands, Inc. Class A",0.121,STZ,"Rochester, New York",Consumer Staples,Distillers & Vintners
"Agilent Technologies, Inc.",0.121,A,"Santa Clara, California",Health Care,Life Sciences Tools & Services
"American International Group, Inc.",0.12,AIG,"New York City, New York",Financials,Multi-line Insurance
Sysco Corp.,0.12,SYY,"Houston, Texas",Consumer Staples,Food Distributors
Arthur J Gallagher & Co.,0.12,AJG,"Rolling Meadows, Illinois",Financials,Insurance Brokers
Realty Income Corp. REIT,0.119,O,"San Diego, California",Real Estate,Retail REITs
"Ecolab, Inc.",0.118,ECL,"Saint Paul, Minnesota",Materials,Specialty Chemicals
"Paychex, Inc.",0.118,PAYX,"Penfield, New York",Industrials,Human Resource & Employment Services
Capital One Financial Corp.,0.117,COF,"Tysons Corner, Virginia",Financials,Consumer Finance
"TE Connectivity, Ltd.",0.117,TEL,"Galway, Ireland",Information Technology,Electronic Manufacturing Services
FedEx Corp.,0.117,FDX,"Memphis, Tennessee",Industrials,Air Freight & Logistics
"Williams Cos., Inc.",0.116,WMB,"Tulsa, Oklahoma",Energy,Oil & Gas Storage & Transportation
"Xcel Energy, Inc.",0.115,XEL,"Minneapolis, Minnesota",Utilities,Multi-Utilities
"MSCI, Inc.",0.113,MSCI,"New York City, New York",Financials,Financial Exchanges & Data
Johnson Controls International PLC,0.113,JCI,"Cork, Ireland",Industrials,Building Products
"IQVIA Holdings, Inc. ",0.112,IQV,"Durham, North Carolina",Health Care,Life Sciences Tools & Services
Allstate Corp.,0.112,ALL,"Northbrook, Illinois",Financials,Property & Casualty Insurance
"Charter Communications, Inc. Class A ",0.112,CHTR,"Stamford, Connecticut",Communication Services,Cable & Satellite
Trane Technologies PLC,0.112,TT,"Dublin, Ireland",Industrials,Building Products
"Microchip Technology, Inc.",0.112,MCHP,"Chandler, Arizona",Information Technology,Semiconductors
Monster Beverage Corp. ,0.111,MNST,"Corona, California",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Cintas Corp.,0.111,CTAS,"Mason, Ohio",Industrials,Diversified Support Services
"Hilton Worldwide Holdings, Inc.",0.111,HLT,"Tysons Corner, Virginia",Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Newmont Corp.,0.11,NEM,"Denver, Colorado",Materials,Gold
"Kinder Morgan, Inc.",0.11,KMI,"Houston, Texas",Energy,Oil & Gas Storage & Transportation
Hershey Co.,0.107,HSY,"Hershey, Pennsylvania",Consumer Staples,Packaged Foods & Meats
"Aflac, Inc.",0.107,AFL,"Columbus, Georgia",Financials,Life & Health Insurance
"Prudential Financial, Inc.",0.107,PRU,"Newark, New Jersey",Financials,Life & Health Insurance
"Fortinet, Inc. ",0.107,FTNT,"Sunnyvale, California",Information Technology,Systems Software
"ResMed, Inc.",0.105,RMD,"San Diego, California",Health Care,Health Care Equipment
"Dow, Inc.",0.105,DOW,"Midland, Michigan",Materials,Commodity Chemicals
