Company,Weight,Ticker,Headquarters,GICS Sector,GICS Sub-Industry
General Electric Co,3.265,GE,"Evendale, Ohio",Industrials,Aerospace & Defense
Microsoft Corp ,3.153,MSFT,"Redmond, Washington",Information Technology,Systems Software
"Wal-Mart Stores, Inc",2.916,WMT,"Bentonville, Arkansas",Consumer Staples,Consumer Staples Merchandise Retail
Exxon Mobil Corp,2.873,XOM,"Irving, Texas",Energy,Integrated Oil & Gas
"Pfizer, Inc",2.392,PFE,"New York City, New York",Health Care,Pharmaceuticals
Johnson & Johnson Company,2.143,JNJ,"New Brunswick, New Jersey",Health Care,Pharmaceuticals
"Citigroup, Inc",1.999,C,"New York City, New York",Financials,Diversified Banks
"American International Group, Inc",1.898,AIG,"New York City, New York",Financials,Multi-line Insurance
Coca-Cola Co (The),1.582,KO,"Atlanta, Georgia",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Procter & Gamble Co,1.543,PG,"Cincinnati, Ohio",Consumer Staples,Personal Care Products
"Merck & Co, Inc",1.367,MRK,"Kenilworth, New Jersey",Health Care,Pharmaceuticals
International Business Machines Corp,1.318,IBM,"Armonk, New York",Information Technology,IT Consulting & Other Services
Bank of America Corp,1.278,BAC,"Charlotte, North Carolina",Financials,Diversified Banks
Intel Corp,1.233,INTC,"Santa Clara, California",Information Technology,Semiconductors
Wells Fargo & Co,1.094,WFC,"San Francisco, California",Financials,Diversified Banks
"Philip Morris Cos, Inc",1.093,PM,"New York City, New York",Consumer Staples,Tobacco
"Cisco Systems, Inc ",1.02,CSCO,"San Jose, California",Information Technology,Communications Equipment
Verizon Communications Inc,0.993,VZ,"New York City, New York",Communication Services,Integrated Telecommunication Services
ChevronTexaco Corp,0.982,CVX,"Houston, Texas",Energy,Integrated Oil & Gas
"Viacom, Inc ",0.952,VIAB,"New York, NY",Communication Services,Movies & Entertainment
United Parcel Service Inc Class B,0.928,UPS,"Sandy Springs, Georgia",Industrials,Air Freight & Logistics
SBC Communications Inc,0.892,SBC,"Irvine, CA",Industrials,Consulting Services
"PepsiCo, Inc",0.868,PEP,"Purchase, New York",Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Abbott Lab,0.838,ABT,"North Chicago, Illinois",Health Care,Health Care Equipment
Lilly (Eli) & Co,0.826,LLY,"Indianapolis, Indiana",Health Care,Pharmaceuticals
"Home Depot, Inc",0.817,HD,"Atlanta, Georgia",Consumer Discretionary,Home Improvement Retail
Dell Computer Corp ,0.811,DELL,"Round Rock, Texas",Information Technology,"Technology Hardware, Storage & Peripherals"
Fannie Mae,0.789,FNMA,"Washington, DC",Financial Services,Mortgage Finance
Amgen Inc ,0.709,AMGN,"Thousand Oaks, California",Health Care,Biotechnology
"AOL Time Warner, Inc ",0.692,AOL,"New York, NY",Communication Services,Interactive Media & Services
